# {"t_start": 1616515192.3444824, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,3.912467,0,0
0.119243,150,5.86305,0.1192432148402719,0.1192432148402719
0.832421,150,7.798199,0.8324211723275254,0.8324211723275254
0,150,9.885611,0,0
0,150,12.140812,0,0
0,150,14.474856,0,0
0.104869,150,16.838281,0.10486948863450019,0.10486948863450019
0,150,19.201575,0,0
0,150,21.563936,0,0
0,150,23.921341,0,0
0,150,26.283053,0,0
0,150,28.655318,0,0
0,150,31.043981,0,0
0,150,47.500294,0,0
0,150,49.86295,0,0
0,150,52.236502,0,0
0,150,54.568176,0,0
0,150,56.926803,0,0
0,150,59.25346,0,0
0,150,61.616463,0,0
0,150,63.972508,0,0
0,150,66.332314,0,0
0,150,68.691576,0,0
0,150,71.086929,0,0
0,150,73.436416,0,0
0,150,75.795887,0,0
0,150,78.161434,0,0
0,150,94.543784,0,0
0,150,96.942548,0,0
0,150,99.315167,0,0
0,150,101.685758,0,0
0,150,104.054359,0,0
0,150,106.446346,0,0
0,150,108.805219,0,0
0,150,111.165628,0,0
0,150,113.53326,0,0
2.504793,150,115.906389,2.504792758125456,2.504792758125456
0,150,118.271978,0,0
0,150,120.66766,0,0
0,150,123.068285,0,0
0,150,139.481678,0,0
0.098026,150,141.840279,0.09802630360182896,0.09802630360182896
0,150,144.213459,0,0
0.032856,150,146.58583,0.03285580233542906,0.03285580233542906
0,150,148.969794,0,0
0,150,151.344402,0,0
0,150,153.694933,0,0
0.066788,150,156.055418,0.06678786823379013,0.06678786823379013
0,150,158.408362,0,0
0,150,160.772836,0,0
0,150,163.110689,0,0
0,150,165.451068,0,0
0,150,167.789127,0,0
0,150,170.139252,0,0
0,150,186.476979,0,0
0,150,188.852771,0,0
0,150,191.191779,0,0
0,150,193.556305,0,0
0,150,195.924882,0,0
0,150,198.285479,0,0
0,150,200.623855,0,0
0,150,202.969187,0,0
0,150,205.343362,0,0
0,150,207.701801,0,0
0,150,210.080692,0,0
0,150,212.441781,0,0
0,150,214.81737,0,0
0.515835,150,217.185541,0.5158349543606222,0.5158349543606222
0,150,233.453594,0,0
0,150,235.824728,0,0
0,150,238.194501,0,0
0,150,240.569145,0,0
0,150,242.920234,0,0
0,150,245.270581,0,0
0,150,247.63094,0,0
0,150,250.003943,0,0
0,150,252.356611,0,0
0,150,254.706027,0,0
0,150,257.070345,0,0
0,150,259.438985,0,0
0,150,261.810214,0,0
0,150,278.209471,0,0
0,150,280.571754,0,0
0,150,282.934851,0,0
1.457009,150,285.305713,1.4570089421526466,1.4570089421526466
0,150,287.669499,0,0
0,150,290.03537,0,0
0,150,292.428235,0,0
0,150,294.809716,0,0
0,150,297.176379,0,0
0,150,299.548305,0,0
0,150,301.900127,0,0
0,150,304.254808,0,0
0,150,306.625287,0,0
0,150,309.014786,0,0
0,150,327.389906,0,0
0,150,329.739494,0,0
0,150,332.090566,0,0
0,150,334.450816,0,0
0,150,336.814496,0,0
0,150,339.137935,0,0
0,150,341.49251,0,0
0,150,343.864442,0,0
0,150,346.235389,0,0
0,150,348.603256,0,0
0,150,350.985409,0,0
0,150,353.345521,0,0
0,150,355.698571,0,0
0,150,358.050857,0,0
0,150,374.457454,0,0
0,150,376.802274,0,0
0,150,379.168574,0,0
0,150,381.548867,0,0
0,150,383.904711,0,0
0,150,386.285167,0,0
0,150,388.669471,0,0
0,150,391.035134,0,0
0,150,393.409915,0,0
0,150,395.761642,0,0
0,150,398.097392,0,0
0,150,400.433701,0,0
0,150,402.785629,0,0
0,150,419.147679,0,0
0,150,421.483217,0,0
0,150,423.81744,0,0
0,150,426.181455,0,0
0,150,428.528175,0,0
0,150,430.910767,0,0
0,150,433.28848,0,0
0,150,435.674817,0,0
0,150,438.056974,0,0
0.278396,150,440.427812,0.2783958990854193,0.2783958990854193
0,150,442.814702,0,0
0,150,445.185149,0,0
0,150,447.560724,0,0
0,150,449.918154,0,0
0,150,466.217694,0,0
0,150,468.606976,0,0
0,150,470.984129,0,0
0,150,473.345261,0,0
0,150,475.713803,0,0
0.618673,150,478.087851,0.6186727677759754,0.6186727677759754
0,150,480.447805,0,0
0,150,482.804407,0,0
0,150,485.179374,0,0
0,150,487.557256,0,0
0,150,489.923611,0,0
0,150,492.277875,0,0
0,150,494.652631,0,0
0,150,497.05127,0,0
0,150,513.232017,0,0
0,150,515.583507,0,0
0.486996,150,517.929918,0.4869956136245456,0.4869956136245456
0.853519,150,520.288795,0.853518695501128,0.853518695501128
0,150,522.670723,0,0
0,150,525.044015,0,0
0,150,527.423847,0,0
0,150,529.788752,0,0
0,150,532.152004,0,0
0,150,534.504298,0,0
0,150,536.86929,0,0
0,150,539.227544,0,0
0.43762,150,541.601711,0.4376198258649252,0.4376198258649252
0,150,558.003775,0,0
0,150,560.39909,0,0
0,150,562.775949,0,0
0.36397,150,565.147633,0.3639698335731868,0.3639698335731868
0,150,567.520699,0,0
0,150,569.926336,0,0
0,150,572.305598,0,0
0,150,574.682537,0,0
0,150,577.069669,0,0
0,150,579.451158,0,0
0,150,581.827696,0,0
0.07607,150,584.224635,0.07606969224890536,0.07606969224890536
0.429263,150,586.59193,0.42926259503613284,0.42926259503613284
0,150,588.993996,0,0
0,150,605.41101,0,0
0,150,607.787765,0,0
0,150,610.189106,0,0
0,150,612.569442,0,0
0.607026,150,614.94386,0.6070260873693227,0.6070260873693227
0.383816,150,617.34338,0.3838161533687686,0.3838161533687686
0,150,619.724262,0,0
0,150,622.08971,0,0
0,150,624.438194,0,0
0,150,626.784003,0,0
0,150,629.155963,0,0
0,150,631.50627,0,0
0,150,633.840694,0,0
0,150,636.168636,0,0
0,150,652.559308,0,0
0,150,654.888821,0,0
0,150,657.223831,0,0
0,150,659.534069,0,0
0,150,661.881027,0,0
0,150,664.224426,0,0
0,150,666.580303,0,0
0,150,668.953044,0,0
0,150,671.34256,0,0
0,150,673.713815,0,0
0,150,676.061421,0,0
0.497869,150,678.418018,0.4978694018804849,0.4978694018804849
0,150,680.788879,0,0
0,150,699.433319,0,0
0,150,701.822475,0,0
0,150,704.205073,0,0
0,150,706.583411,0,0
0,150,708.977195,0,0
0,150,711.36228,0,0
0,150,713.748042,0,0
0,150,716.117824,0,0
0,150,718.476894,0,0
0.834837,150,720.837043,0.8348365183484502,0.8348365183484502
0,150,723.201647,0,0
0,150,725.591031,0,0
0,150,727.970036,0,0
0,150,730.361529,0,0
0,150,746.732715,0,0
0,150,749.127715,0,0
0,150,751.5239,0,0
0,150,753.901392,0,0
0,150,756.282201,0,0
0,150,758.674259,0,0
0,150,761.033307,0,0
0,150,763.368059,0,0
0,150,765.761423,0,0
0,150,768.127462,0,0
0,150,770.507504,0,0
0,150,772.902235,0,0
0,150,775.264716,0,0
0,150,777.653126,0,0
0,150,796.323056,0,0
0,150,798.678232,0,0
