# {"t_start": 1616515192.4721837, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,3.779216,0,0
0,150,5.736983,0,0
0,150,7.670683,0,0
0,150,9.757762,0,0
0,150,12.013803,0,0
0,150,14.347254,0,0
0,150,16.710852,0,0
0,150,19.074042,0,0
0,150,21.43613,0,0
0.957692,150,23.793502,0.9576915767134211,0.9576915767134211
0,150,26.155241,0,0
0,150,28.526688,0,0
0,150,30.916996,0,0
0,150,47.376361,0,0
0.234424,150,49.73534,0.23442421570636784,0.23442421570636784
0.227044,150,52.108876,0.22704410432627464,0.22704410432627464
0,150,54.440772,0,0
0,150,56.801427,0,0
0,150,59.125615,0,0
0,150,61.488537,0,0
0,150,63.843169,0,0
0,150,66.204733,0,0
0,150,68.563744,0,0
0,150,70.959334,0,0
0,150,73.308728,0,0
0,150,75.668113,0,0
0.698877,150,78.033625,0.6988767570689114,0.6988767570689114
1.374623,150,94.416126,1.3746233104639836,1.3746233104639836
0.551553,150,96.814884,0.5515529119545709,0.5515529119545709
0,150,99.18756,0,0
0,150,101.55798,0,0
0,150,103.926898,0,0
0,150,106.315649,0,0
0,150,108.677287,0,0
0,150,111.038624,0,0
0,150,113.405763,0,0
0,150,115.778887,0,0
0.361432,150,118.144381,0.3614324230600997,0.3614324230600997
0,150,120.538224,0,0
0,150,122.940552,0,0
0.24756,150,139.3541,0.24756036100785428,0.24756036100785428
0,150,141.716501,0,0
0,150,144.087937,0,0
3.463069,150,146.457678,3.4630689618415826,3.4630689618415826
0,150,148.842153,0,0
0,150,151.218634,0,0
0,150,153.567304,0,0
0,150,155.927443,0,0
0,150,158.278828,0,0
0,150,160.645176,0,0
0,150,162.982939,0,0
0,150,165.323537,0,0
0,150,167.661347,0,0
0.541522,150,170.011867,0.5415223844704153,0.5415223844704153
0,150,186.349611,0,0
0,150,188.729285,0,0
0,150,191.064031,0,0
0,150,193.428952,0,0
0,150,195.797261,0,0
0,150,198.157826,0,0
0,150,200.497847,0,0
0,150,202.841561,0,0
0,150,205.215585,0,0
0,150,207.574013,0,0
0,150,209.95331,0,0
0,150,212.314125,0,0
0,150,214.69188,0,0
0,150,217.058007,0,0
0,150,233.325745,0,0
0,150,235.69613,0,0
0,150,238.068985,0,0
0,150,240.441608,0,0
0,150,242.792776,0,0
0,150,245.143046,0,0
0,150,247.503191,0,0
0,150,249.876143,0,0
0,150,252.228854,0,0
0,150,254.578526,0,0
0,150,256.942778,0,0
0,150,259.311518,0,0
0,150,261.682698,0,0
0,150,278.082027,0,0
0,150,280.444062,0,0
0,150,282.806804,0,0
0,150,285.179267,0,0
0,150,287.541676,0,0
0,150,289.907501,0,0
0,150,292.300679,0,0
0,150,294.682259,0,0
0,150,297.04897,0,0
0,150,299.420517,0,0
0,150,301.773058,0,0
0,150,304.127769,0,0
0,150,306.501432,0,0
0,150,308.889465,0,0
0,150,327.264041,0,0
0,150,329.611883,0,0
0,150,331.961437,0,0
0,150,334.32355,0,0
0.210478,150,336.687212,0.21047847469011904,0.21047847469011904
0,150,339.009004,0,0
0,150,341.365104,0,0
0,150,343.736859,0,0
0,150,346.107737,0,0
0,150,348.475839,0,0
0,150,350.85797,0,0
0,150,353.217721,0,0
0,150,355.570966,0,0
0,150,357.924738,0,0
0,150,374.32977,0,0
0,150,376.675628,0,0
0,150,379.040889,0,0
0,150,381.425001,0,0
0,150,383.777255,0,0
0,150,386.158937,0,0
0,150,388.541828,0,0
0,150,390.907408,0,0
0,150,393.280376,0,0
0,150,395.633993,0,0
0,150,397.969825,0,0
0,150,400.306086,0,0
0,150,402.657978,0,0
0,150,419.019801,0,0
0,150,421.355983,0,0
0,150,423.690005,0,0
0,150,426.053827,0,0
0.676909,150,428.400453,0.6769093723406034,0.6769093723406034
0,150,430.783179,0,0
0,150,433.160571,0,0
0,150,435.547065,0,0
0,150,437.928343,0,0
0,150,440.301542,0,0
0,150,442.687037,0,0
0,150,445.057563,0,0
0,150,447.432901,0,0
0,150,449.790501,0,0
0,150,466.089996,0,0
0.594828,150,468.479416,0.5948279538069416,0.5948279538069416
0,150,470.856221,0,0
0,150,473.218753,0,0
0,150,475.586128,0,0
0,150,477.958579,0,0
0,150,480.320053,0,0
0,150,482.676791,0,0
0,150,485.050152,0,0
0,150,487.429765,0,0
0,150,489.793855,0,0
0,150,492.150254,0,0
0,150,494.526586,0,0
0,150,496.923579,0,0
0,150,513.104392,0,0
0,150,515.455829,0,0
0,150,517.80214,0,0
0,150,520.161273,0,0
0,150,522.543201,0,0
0,150,524.916537,0,0
0,150,527.296197,0,0
0,150,529.662027,0,0
0,150,532.024162,0,0
0,150,534.376835,0,0
0,150,536.743771,0,0
0,150,539.100062,0,0
0,150,541.473982,0,0
0,150,557.87615,0,0
0,150,560.271751,0,0
0,150,562.64813,0,0
0,150,565.020022,0,0
0,150,567.39317,0,0
0,150,569.796484,0,0
0,150,572.177308,0,0
0,150,574.55503,0,0
0,150,576.942271,0,0
0,150,579.323545,0,0
0,150,581.700196,0,0
0,150,584.096583,0,0
0,150,586.466702,0,0
0,150,588.866158,0,0
0,150,605.283292,0,0
0,150,607.660909,0,0
0,150,610.060418,0,0
0,150,612.443255,0,0
0,150,614.816202,0,0
0,150,617.215854,0,0
0,150,619.596512,0,0
0,150,621.962608,0,0
0,150,624.30951,0,0
0,150,626.656191,0,0
0,150,629.026596,0,0
0,150,631.378778,0,0
0,150,633.713107,0,0
0,150,636.041779,0,0
0,150,652.432969,0,0
0,150,654.761184,0,0
0,150,657.095687,0,0
0,150,659.40511,0,0
0,150,661.753778,0,0
0,150,664.098267,0,0
0,150,666.453667,0,0
0,150,668.823788,0,0
0,150,671.21316,0,0
0,150,673.586105,0,0
0,150,675.933987,0,0
0,150,678.290514,0,0
0,150,680.661263,0,0
0,150,699.305758,0,0
0,150,701.694137,0,0
0,150,704.077429,0,0
0,150,706.45585,0,0
0,150,708.847593,0,0
0,150,711.234934,0,0
0,150,713.614466,0,0
0,150,715.990432,0,0
0,150,718.349401,0,0
0,150,720.70955,0,0
0,150,723.074071,0,0
0,150,725.461813,0,0
0,150,727.842525,0,0
0,150,730.233876,0,0
0,150,746.605058,0,0
0,150,749.000329,0,0
0,150,751.397715,0,0
0,150,753.773836,0,0
0,150,756.158053,0,0
0,150,758.546474,0,0
0,150,760.905796,0,0
0,150,763.240243,0,0
0,150,765.631574,0,0
0,150,768.001351,0,0
0,150,770.379831,0,0
0,150,772.774192,0,0
0,150,775.136504,0,0
0,150,777.525607,0,0
0,150,796.19136,0,0
0,150,798.551673,0,0
0,150,800.89309,0,0
0,150,803.239335,0,0
0,150,805.608129,0,0
0,150,807.964902,0,0
0,150,810.3223,0,0
0,150,812.672555,0,0
0,150,815.029053,0,0
0,150,817.427835,0,0
0,150,819.796287,0,0
0,150,822.175043,0,0
0.179928,150,824.514367,0.17992767836488843,0.17992767836488843
0,150,840.875028,0,0
0,150,843.215079,0,0
0,150,845.583763,0,0
0,150,847.93838,0,0
0,150,850.315979,0,0
