# {"t_start": 1616515193.3478086, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,2.905014,0,0
0,150,4.857968,0,0
0.674287,150,6.796397,0.6742869489129557,0.6742869489129557
0,150,8.887245,0,0
0,150,11.148142,0,0
0,150,13.480558,0,0
0,150,15.844243,0,0
0,150,18.206427,0,0
0,150,20.569249,0,0
0,150,22.926392,0,0
0,150,25.287575,0,0
0,150,27.660085,0,0
0,150,30.051171,0,0
0,150,46.506101,0,0
0,150,48.869839,0,0
0,150,51.242743,0,0
0,150,53.573076,0,0
0,150,55.933771,0,0
0,150,58.258173,0,0
0,150,60.621193,0,0
0,150,62.978082,0,0
0,150,65.338903,0,0
0,150,67.696458,0,0
0.314709,150,70.091485,0.3147086829110457,0.3147086829110457
0.818418,150,72.441172,0.8184182977501111,0.8184182977501111
0,150,74.80068,0,0
0,150,77.166816,0,0
0,150,93.548683,0,0
0,150,95.94904,0,0
0,150,98.321399,0,0
0,150,100.690998,0,0
0,150,103.059389,0,0
0,150,105.44922,0,0
0,150,107.809965,0,0
0,150,110.171376,0,0
0,150,112.538352,0,0
0,150,114.912081,0,0
0,150,117.276361,0,0
0,150,119.671047,0,0
0,150,122.072961,0,0
0,150,138.488242,0,0
1.566319,150,140.845406,1.5663193740566868,1.5663193740566868
0,150,143.219616,0,0
0,150,145.592317,0,0
0,150,147.976082,0,0
0,150,150.35025,0,0
0,150,152.700923,0,0
0,150,155.061412,0,0
0,150,157.411563,0,0
0.473914,150,159.780204,0.4739137221113304,0.4739137221113304
0,150,162.11642,0,0
0,150,164.457613,0,0
0,150,166.79432,0,0
0,150,169.145096,0,0
0,150,185.482497,0,0
0,150,187.859286,0,0
0,150,190.198603,0,0
0,150,192.562926,0,0
1.298593,150,194.929654,1.298592918271817,1.298592918271817
0,150,197.289726,0,0
0,150,199.629301,0,0
0,150,201.975516,0,0
0,150,204.348574,0,0
0,150,206.70674,0,0
0,150,209.0878,0,0
0,150,211.448238,0,0
0,150,213.82251,0,0
0,150,216.191014,0,0
0,150,232.458529,0,0
0,150,234.829186,0,0
0,150,237.200687,0,0
0,150,239.575089,0,0
0,150,241.926318,0,0
0,150,244.276194,0,0
0,150,246.636222,0,0
0,150,249.01004,0,0
0,150,251.364241,0,0
0,150,253.713009,0,0
0,150,256.076199,0,0
0,150,258.445247,0,0
0,150,260.815287,0,0
0,150,277.214863,0,0
0,150,279.577039,0,0
0,150,281.940358,0,0
0,150,284.311091,0,0
0,150,286.675239,0,0
0,150,289.041036,0,0
0,150,291.432777,0,0
0,150,293.816248,0,0
0,150,296.182871,0,0
0,150,298.553212,0,0
0,150,300.907425,0,0
0,150,303.261252,0,0
0,150,305.630747,0,0
0,150,308.019722,0,0
0,150,326.395357,0,0
0,150,328.745529,0,0
0,150,331.095339,0,0
0.052183,150,333.457478,0.052182528087424185,0.052182528087424185
0,150,335.820519,0,0
0,150,338.142989,0,0
0.409069,150,340.498315,0.4090694416506806,0.4090694416506806
0.804756,150,342.868936,0.8047557435402747,0.8047557435402747
0,150,345.239848,0,0
0,150,347.60898,0,0
0,150,349.990698,0,0
0,150,352.350273,0,0
0,150,354.70416,0,0
0,150,357.054902,0,0
0,150,373.462921,0,0
0,150,375.807311,0,0
0,150,378.173635,0,0
0,150,380.554973,0,0
0,150,382.908759,0,0
0,150,385.291564,0,0
0,150,387.673877,0,0
0,150,390.040025,0,0
0,150,392.413316,0,0
0,150,394.768716,0,0
0,150,397.102091,0,0
0,150,399.439838,0,0
0,150,401.791199,0,0
0,150,418.15218,0,0
0,150,420.488385,0,0
0,150,422.823375,0,0
0.514092,150,425.187102,0.5140918779219436,0.5140918779219436
0,150,427.534217,0,0
0,150,429.916307,0,0
0,150,432.293201,0,0
0,150,434.679387,0,0
0,150,437.060039,0,0
0,150,439.433469,0,0
0,150,441.820948,0,0
0,150,444.190218,0,0
0,150,446.567099,0,0
0.995502,150,448.923084,0.9955024865770596,0.9955024865770596
0,150,465.22224,0,0
0,150,467.612462,0,0
0,150,469.988756,0,0
0,150,472.352701,0,0
0,150,474.719082,0,0
0,150,477.091358,0,0
0,150,479.453799,0,0
