# {"t_start": 1616694496.7586918, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,4.285774,0,0
0,150,6.514793,0,0
62.32338,150,8.68286,62.323379505596336,0
0,150,10.981893,0,0
0,150,13.484507,0,0
0,150,15.932189,0,0
0,150,18.458796,0,0
62.32338,150,20.953892,62.323379505596336,0
0.259543,150,23.428543,0.25954276386200914,0
0,150,25.951168,0,0
0.292697,150,28.481298,0.2926972691357278,0
0,150,30.92246,0,0
0,150,33.398904,0,0
0,150,51.725567,0,0
0,150,54.206496,0,0
0,150,56.714991,0,0
0.051036,150,59.194602,0.051036383281076736,0
0,150,61.716712,0,0
0,150,64.198878,0,0
0,150,66.749233,0,0
0,150,69.236699,0,0
11.034279,150,71.761181,11.034278511280236,0
0,150,74.253504,0,0
0.0795,150,76.751387,0.079500307650756,0
0.055214,150,79.191057,0.05521354882451668,0
0,150,81.730621,0,0
0,150,84.273367,0,0
0,150,102.65913,0,0
0.347434,150,105.182115,0.34743350469805256,0.34743350469805256
0,150,107.728594,0,0
0.316362,150,110.23157,0.31636169271447434,0
0,150,112.70912,0,0
0.007617,150,115.180123,0.007616544585323903,0
0,150,117.662276,0,0
0,150,120.135648,0,0
0,150,122.567386,0,0
0.362592,150,125.116869,0.36259190041348555,0
0.404531,150,127.624998,0.40453091721642287,0
94.071831,150,130.133759,94.07183063123934,0
0,150,132.596491,0,0
0.01142,150,149.324071,0.011420454658799484,0
0.489287,150,151.868579,0.48928682028346027,0
94.071831,150,154.294966,94.07183063123934,0
0,150,156.82227,0,0
0,150,159.314217,0,0
0,150,161.885372,0,0
0,150,164.360895,0,0
0.492,150,166.865946,0.49199952984777395,0
0,150,169.323365,0,0
0.884783,150,171.857117,0.8847831957561062,0
0,150,174.377876,0,0
0,150,176.878192,0,0
0,150,179.410848,0,0
0,150,181.870592,0,0
0.211358,150,198.824753,0.21135838637792248,0
0.394782,150,201.355192,0.3947816490001753,0
0.139469,150,203.869426,0.13946921423558611,0
0.139469,150,206.312673,0.13946921423558611,0
0,150,208.852441,0,0
0,150,211.385751,0,0
0,150,213.889335,0,0
0,150,216.450589,0,0
0.172382,150,218.938934,0.1723821364228706,0
0.313654,150,221.460948,0.31365402693402367,0
0.227206,150,223.926797,0.22720613760738417,0
0,150,226.488113,0,0
0,150,228.959181,0,0
0.275761,150,231.454041,0.2757607357295545,0
9.103633,150,248.383555,9.103632975283062,0
65.981252,150,250.892927,65.98125228865436,0
0,150,253.380946,0,0
0,150,255.865207,0,0
1.814709,150,258.387715,1.8147086392396963,0
0,150,260.935085,0,0
0,150,263.424493,0,0
0,150,265.923705,0,0
0,150,268.482638,0,0
0,150,270.963778,0,0
62.32338,150,273.559556,62.323379505596336,0
0.266013,150,276.01507,0.2660132879349306,0.2660132879349306
0.057972,150,278.516,0.05797204182247784,0
0.081186,150,295.439043,0.08118600631038742,0
0,150,297.937589,0,0
0,150,300.426338,0,0
0,150,302.928455,0,0
0,150,305.483264,0,0
