BC_loss,V_loss,action_loss,gail_loss,entropy
0.0,2090.3369937896728,-0.000990854439442046,0.0,1.3827805239707232
0.0,1942.7117877960204,-0.0013561603052949067,0.0,1.3744357697665692
0.0,1535.4591262817382,-0.0008724442290258594,0.0,1.366123191639781
0.0,1103.5212831497192,-0.0012241991375049111,0.0,1.348133922368288
0.0,1233.419235610962,-0.0014215983454050729,0.0,1.329196573793888
0.0,1019.7838256835937,-0.0016423210563516477,0.0,1.3074158430099487
0.0,795.2749393463134,-0.0008120616716041695,0.0,1.2958580654114484
0.0,686.9024438858032,-0.0010951432610454503,0.0,1.2731219127774238
0.0,620.8590047836303,-0.0006910742602485697,0.0,1.2803752906620502
0.0,413.9245195388794,-0.0022560266432265054,0.0,1.228713032975793
0.0,359.08728551864624,-0.0010673133543605217,0.0,1.2279147680848836
0.0,451.85046977996825,-0.000852437117282534,0.0,1.219726161286235
0.0,370.7393909454346,-0.0006888655734655913,0.0,1.2276267062872648
0.0,244.06306219100952,-0.0012744872852636035,0.0,1.20474663823843
0.0,201.1566876411438,-0.0008365554065676406,0.0,1.1973159197717904
0.0,222.37820892333986,-0.0006250399936106987,0.0,1.194561517238617
0.0,218.2528688430786,-0.0003660948248580098,0.0,1.2068405970931053
0.0,161.82696073055268,-0.0013397769147559303,0.0,1.1564788464456797
0.0,177.07760248184204,-0.001104439628397813,0.0,1.1622535355389119
0.0,156.6709668636322,-0.00037266971849021503,0.0,1.162379340454936
0.0,185.4711705684662,-0.0009004456835100428,0.0,1.1397726509720087
0.0,247.9052376270294,-0.00041267244196205863,0.0,1.1830498330295085
0.0,212.85845584869384,-0.0008855681988279684,0.0,1.1583792876452208
0.0,225.75745091438293,-0.0007040499280265067,0.0,1.1591167245060205
0.0,217.4626371383667,-0.0010254981702018996,0.0,1.1557540465146303
0.0,147.19647710323335,-0.0008937718550441787,0.0,1.1435571745038033
0.0,174.48885793685912,-0.00047155929314612877,0.0,1.1712491612881422
0.0,142.50533537864686,-0.001112573466525646,0.0,1.1383541781455278
0.0,140.73176987171172,-0.0004076167566381628,0.0,1.166842584311962
0.0,133.24910571575165,-0.0007645183450222248,0.0,1.1552767500281333
