# {"t_start": 1616599187.0890503, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,3.041835,0,0
0,150,5.307024,0,0
0,150,7.408987,0,0
94.071831,150,9.828471,94.07183063123934,0
0.146871,150,12.168523,0.14687102328158075,0
0,150,14.638576,0,0
0,150,17.147482,0,0
0,150,19.640087,0,0
0,150,22.105065,0,0
0,150,24.523884,0,0
0,150,27.050701,0,0
0,150,29.525118,0,0
0,150,32.010798,0,0
0,150,48.477435,0,0
0.265683,150,50.962792,0.26568298317713035,0
0,150,53.464729,0,0
0,150,55.952959,0,0
0,150,58.464867,0,0
0,150,60.933501,0,0
0.358882,150,63.459571,0.3588818925203082,0
3.774549,150,65.924367,3.7745485690626515,0
94.071831,150,68.394668,94.07183063123934,0
0,150,70.881794,0,0
0,150,73.411899,0,0
0,150,75.887552,0,0
0,150,78.394911,0,0
0.417177,150,80.975775,0.4171773326495435,0.4171773326495435
0,150,98.022371,0,0
0.692975,150,100.526455,0.6929750451413437,0
0,150,103.064686,0,0
0,150,105.518344,0,0
0,150,108.101112,0,0
0,150,110.537222,0,0
0.053074,150,113.132605,0.05307410744561347,0
0.039869,150,115.539033,0.03986898891961688,0
0,150,118.029286,0,0
0,150,120.52214,0,0
0,150,123.047741,0,0
0,150,125.529248,0,0
0.42685,150,128.07698,0.42684957571402005,0
0,150,146.682676,0,0
0,150,149.219831,0,0
0.467828,150,151.724609,0.4678282947653356,0
0,150,154.248221,0,0
54.645383,150,156.740954,54.64538272765843,0
0,150,159.224725,0,0
0.386633,150,161.754626,0.3866328903877435,0
0,150,164.184959,0,0
0,150,166.710042,0,0
0.015771,150,169.117813,0.01577117199473166,0
11.034279,150,171.649924,11.034278511280236,0
0,150,174.170304,0,0
0,150,176.653949,0,0
0,150,179.144542,0,0
0,150,197.442852,0,0
0.140501,150,199.959159,0.14050067161590318,0
0,150,202.478188,0,0
0,150,204.99856,0,0
0,150,207.564772,0,0
0,150,210.137186,0,0
0,150,212.645261,0,0
0,150,215.084806,0,0
0,150,217.590886,0,0
0,150,220.125503,0,0
0,150,222.553728,0,0
0.340505,150,225.089475,0.34050515685547955,0.34050515685547955
0,150,227.626758,0,0
0,150,230.10054,0,0
0,150,248.148884,0,0
1.25978,150,250.791634,1.25978034489646,0
0,150,253.357156,0,0
0.080441,150,255.872874,0.08044134393441116,0.08044134393441116
0.566203,150,258.361625,0.5662027016980202,0
0,150,260.857332,0,0
0,150,263.342671,0,0
0,150,265.892577,0,0
0.138567,150,268.423926,0.13856680248317543,0
0,150,270.899024,0,0
0,150,273.390611,0,0
0,150,275.927366,0,0
0,150,278.440769,0,0
0.699788,150,294.793549,0.699788346640645,0.699788346640645
3.774549,150,297.328022,3.7745485690626515,0
0,150,299.819865,0,0
0,150,302.266078,0,0
0.753869,150,304.830747,0.7538688572024677,0
0,150,307.268314,0,0
11.034279,150,309.797619,11.034278511280236,0
54.645383,150,312.308339,54.64538272765843,0
0.322535,150,314.779526,0.32253458326478035,0
0,150,317.288856,0,0
0,150,319.838389,0,0
0,150,322.329152,0,0
0,150,324.823061,0,0
0,150,327.325705,0,0
0,150,343.843686,0,0
0.487036,150,346.337174,0.48703608421136235,0.48703608421136235
0,150,348.832156,0,0
0,150,351.376699,0,0
0,150,353.84312,0,0
0,150,356.342874,0,0
0,150,358.873252,0,0
0,150,361.339806,0,0
0.164021,150,363.86146,0.16402111741425796,0
0,150,366.352282,0,0
0,150,368.754115,0,0
62.32338,150,371.38647,62.323379505596336,0
0,150,373.851016,0,0
54.645383,150,376.379153,54.64538272765843,0
0.531145,150,392.941481,0.5311447664457334,0
0.193998,150,395.453472,0.19399808216653036,0
62.32338,150,397.883348,62.323379505596336,0
0.279898,150,400.415185,0.2798976231787538,0
0,150,402.894342,0,0
1.119488,150,405.369106,1.1194880879946876,0
0,150,407.842203,0,0
11.034279,150,410.397241,11.034278511280236,0
0,150,412.858617,0,0
61.32622,150,415.392598,61.32621953746374,0
0,150,417.898478,0,0
0,150,420.424126,0,0
0,150,422.901829,0,0
0,150,439.311062,0,0
0,150,441.756984,0,0
11.034279,150,444.285653,11.034278511280236,0
0,150,446.778291,0,0
2.90943,150,449.236155,2.9094298577727864,0
0,150,451.769663,0,0
0,150,454.230904,0,0
67.50134,150,456.748583,67.50134037431246,0
0.566211,150,459.309724,0.566210584313904,0
0,150,461.798537,0,0
0,150,464.373106,0,0
0,150,466.878135,0,0
0,150,469.460763,0,0
0,150,471.879383,0,0
0,150,488.405437,0,0
0,150,490.885284,0,0
0,150,493.370042,0,0
35.370409,150,495.893297,35.37040882868217,0
0,150,498.389962,0,0
0,150,500.916758,0,0
0,150,503.420112,0,0
0,150,505.870466,0,0
0,150,508.435869,0,0
0,150,510.964398,0,0
0,150,513.475374,0,0
0.777441,150,515.941651,0.7774410267096692,0
0,150,518.488092,0,0
54.645383,150,521.024046,54.64538272765843,0
62.32338,150,539.49042,62.323379505596336,0
0,150,541.948933,0,0
0,150,544.457954,0,0
0,150,546.957633,0,0
0,150,549.439786,0,0
0,150,551.980335,0,0
0,150,554.503079,0,0
0.346083,150,556.992831,0.34608301156928734,0
0,150,559.506353,0,0
0,150,562.018021,0,0
0.3539,150,564.495983,0.35389995401680663,0
0,150,566.984102,0,0
1.546854,150,569.47936,1.546854357319528,0
0,150,585.879636,0,0
0,150,588.434186,0,0
35.370409,150,590.901193,35.37040882868217,0
0.191269,150,593.403437,0.1912685495810782,0
1.546854,150,595.889925,1.546854357319528,0
0,150,598.344814,0,0
0.067732,150,600.819568,0.06773212509477755,0
0,150,603.274046,0,0
0,150,605.743692,0,0
0.116685,150,608.300475,0.11668463644952787,0
0,150,610.777764,0,0
1.627035,150,613.262112,1.6270347846515114,1.6270347846515114
0,150,615.77066,0,0
0.262266,150,618.298293,0.26226617412788344,0
0.269408,150,635.369172,0.26940803821596204,0
0.398395,150,637.924996,0.39839471446423147,0
0,150,640.352956,0,0
0,150,642.856669,0,0
0.297829,150,645.327389,0.2978289935967827,0
0.435208,150,647.903354,0.4352084284463049,0
0,150,650.361545,0,0
35.370409,150,652.928915,35.37040882868217,0
54.645383,150,655.423698,54.64538272765843,0
0,150,657.879146,0,0
0,150,660.40435,0,0
0,150,662.90964,0,0
0,150,665.359814,0,0
1.472763,150,667.835061,1.4727627988954903,0
0,150,684.359712,0,0
0,150,686.821807,0,0
0.487814,150,689.332405,0.48781358170013867,0
0,150,691.804728,0,0
0.183748,150,694.358927,0.1837479355464856,0
0,150,696.867613,0,0
0,150,699.360197,0,0
0,150,701.970393,0,0
0,150,704.583644,0,0
