# {"t_start": 1616599185.9699743, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
9.103633,150,4.148344,9.103632975283062,0
65.981252,150,6.419515,65.98125228865436,0
0,150,8.518878,0,0
61.32622,150,10.944461,61.32621953746374,0
0,150,13.280761,0,0
0.286084,150,15.74909,0.28608406626128036,0.28608406626128036
0,150,18.258609,0,0
62.32338,150,20.751887,62.323379505596336,0
0,150,23.215768,0,0
0.146871,150,25.63407,0.14687102328158075,0
0.168122,150,28.1622,0.16812162739388536,0
0,150,30.63682,0,0
0,150,33.12364,0,0
0,150,49.58891,0,0
0.252989,150,52.075504,0.25298929073455145,0
2.786949,150,54.576058,2.786949323768705,2.786949323768705
0,150,57.062778,0,0
0.448341,150,59.574334,0.4483406558654808,0
0,150,62.042017,0,0
0,150,64.571807,0,0
0.047889,150,67.034703,0.04788946667313043,0
0,150,69.508937,0,0
0.908606,150,71.992328,0.9086055765340945,0.9086055765340945
0.133334,150,74.523711,0.13333434870796068,0
0.021619,150,76.997377,0.021619135906610798,0
0,150,79.505681,0,0
0.759099,150,82.088249,0.7590993423762256,0
0,150,99.132487,0,0
0.117755,150,101.635438,0.11775500961338359,0
0,150,104.17623,0,0
0,150,106.631851,0,0
0.166454,150,109.212359,0.1664544094025353,0
0,150,111.651855,0,0
0,150,114.242926,0,0
0,150,116.65067,0,0
0.692975,150,119.136482,0.6929750451413437,0
0.481708,150,121.632246,0.48170793066271855,0
0,150,124.15868,0,0
0,150,126.640186,0,0
0,150,129.186471,0,0
0.329912,150,147.79066,0.3299118468468163,0
0,150,150.331905,0,0
1.898485,150,152.836321,1.898484981003739,0
0,150,155.360872,0,0
0,150,157.851476,0,0
0,150,160.335252,0,0
0,150,162.866991,0,0
0,150,165.296579,0,0
0,150,167.821779,0,0
0,150,170.228934,0,0
0,150,172.762388,0,0
0,150,175.28152,0,0
0.051282,150,177.765147,0.05128206097183341,0
0,150,180.254873,0,0
0,150,198.553004,0,0
0.338672,150,201.070976,0.338671870884257,0
0,150,203.589018,0,0
0,150,206.110965,0,0
0.123959,150,208.675491,0.12395928401509215,0
0,150,211.246064,0,0
0,150,213.756947,0,0
0,150,216.196099,0,0
0,150,218.701733,0,0
5.152435,150,221.236501,5.152435113528855,0
54.645383,150,223.664466,54.64538272765843,0
3.189698,150,226.201188,3.1896984572493685,0
0,150,228.740844,0,0
0.566203,150,231.21173,0.5662027016980202,0
0,150,249.258038,0,0
0,150,251.901443,0,0
0,150,254.467027,0,0
0.375117,150,256.982571,0.37511661641647354,0
0,150,259.47357,0,0
0,150,261.967554,0,0
0,150,264.452713,0,0
0,150,267.001627,0,0
0.587205,150,269.534455,0.58720545263353,0
0.340505,150,272.010607,0.34050515685547955,0
67.50134,150,274.502383,67.50134037431246,0
0,150,277.038017,0,0
0,150,279.55132,0,0
0,150,295.902295,0,0
1.089784,150,298.43858,1.089783887907405,1.089783887907405
0,150,300.929893,0,0
0,150,303.377054,0,0
0.161513,150,305.942016,0.16151324378401755,0
0.444174,150,308.376681,0.44417447869537996,0
0,150,310.910385,0,0
0,150,313.420646,0,0
0,150,315.890801,0,0
0,150,318.400133,0,0
0.009988,150,320.947481,0.00998788410019924,0
0,150,323.439261,0,0
0,150,325.935029,0,0
0,150,328.435995,0,0
0,150,344.954872,0,0
1.065774,150,347.447427,1.0657736224649466,0
0,150,349.944095,0,0
9.103633,150,352.486403,9.103632975283062,0
2.333139,150,354.954614,2.3331392442903307,0
0.61947,150,357.452376,0.6194698457594956,0
0,150,359.983704,0,0
0,150,362.450802,0,0
0,150,364.972668,0,0
0,150,367.465011,0,0
0,150,369.86935,0,0
0,150,372.498098,0,0
0,150,374.963935,0,0
0,150,377.491714,0,0
0,150,394.052786,0,0
0,150,396.565004,0,0
0,150,398.995491,0,0
11.034279,150,401.525482,11.034278511280236,0
0.173628,150,404.004581,0.1736280303211608,0
0,150,406.480187,0,0
0,150,408.958069,0,0
0,150,411.509562,0,0
0,150,413.969191,0,0
0,150,416.503264,0,0
0,150,419.010951,0,0
0.168259,150,421.53438,0.1682585417670006,0
0,150,424.013774,0,0
0,150,440.421285,0,0
0.117882,150,442.866861,0.11788205473502555,0
0,150,445.398628,0,0
0.110237,150,447.889227,0.1102367974358387,0
0,150,450.347767,0,0
0,150,452.881821,0,0
0,150,455.342644,0,0
0,150,457.859816,0,0
0,150,460.421949,0,0
0.130528,150,462.908319,0.130527697997037,0
11.034279,150,465.484483,11.034278511280236,0
0,150,467.990006,0,0
9.103633,150,470.569679,9.103632975283062,0
0,150,472.990825,0,0
0,150,489.516014,0,0
3.774549,150,491.997148,3.7745485690626515,0
0,150,494.482529,0,0
0,150,497.009247,0,0
0.572458,150,499.500053,0.572457894953252,0
0,150,502.026741,0,0
0,150,504.530879,0,0
0,150,506.980828,0,0
0,150,509.54672,0,0
0,150,512.075144,0,0
0,150,514.586401,0,0
0,150,517.052441,0,0
0,150,519.59871,0,0
0,150,522.134805,0,0
0,150,540.600956,0,0
0,150,543.059798,0,0
3.202784,150,545.568428,3.2027843266038354,0
0,150,548.068598,0,0
0,150,550.550162,0,0
0,150,553.091497,0,0
0,150,555.614308,0,0
0,150,558.103463,0,0
0,150,560.616747,0,0
0,150,563.128406,0,0
0,150,565.607363,0,0
0.211009,150,568.093688,0.2110093231328578,0
0.65876,150,570.589207,0.6587599256735619,0
35.370409,150,586.989901,35.37040882868217,0
0,150,589.545933,0,0
0,150,592.011152,0,0
9.103633,150,594.515182,9.103632975283062,0
0,150,597.002673,0,0
0.4694,150,599.454803,0.4694004952622419,0
0,150,601.930689,0,0
0,150,604.385719,0,0
0,150,606.854889,0,0
0,150,609.412062,0,0
0,150,611.890452,0,0
0,150,614.372743,0,0
0,150,616.879801,0,0
0,150,619.411712,0,0
0,150,636.480791,0,0
0,150,639.036623,0,0
0,150,641.464716,0,0
0,150,643.966773,0,0
0,150,646.438705,0,0
0,150,649.013353,0,0
0,150,651.472831,0,0
0,150,654.040064,0,0
0,150,656.53885,0,0
0,150,658.989004,0,0
0.700432,150,661.514837,0.7004317194960155,0
0,150,664.021143,0,0
0,150,666.470102,0,0
0,150,668.945569,0,0
0,150,685.47084,0,0
