# {"t_start": 1616599187.1764688, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,2.950501,0,0
61.32622,150,5.215676,61.32621953746374,0
0,150,7.318854,0,0
54.645383,150,9.741186,54.64538272765843,0
0,150,12.081763,0,0
0.292697,150,14.552537,0.2926972691357278,0.2926972691357278
0,150,17.061273,0,0
0,150,19.553252,0,0
0,150,22.017566,0,0
9.103633,150,24.43699,9.103632975283062,0
0,150,26.962446,0,0
0,150,29.439097,0,0
0,150,31.92486,0,0
0,150,48.391523,0,0
0,150,50.876937,0,0
0.226061,150,53.377088,0.22606126814247463,0
0,150,55.865401,0,0
0.56054,150,58.377206,0.5605400550318518,0
0.693492,150,60.846956,0.6934919303565334,0
0,150,63.372835,0,0
0,150,65.838616,0,0
0,150,68.307915,0,0
3.774549,150,70.794995,3.7745485690626515,0
0.600957,150,73.32512,0.6009568458353235,0
0,150,75.801532,0,0
0.036116,150,78.307188,0.03611592332153857,0
3.245658,150,80.889595,3.245657722862865,0
61.32622,150,97.933117,61.32621953746374,0
0,150,100.440304,0,0
0,150,102.97741,0,0
67.50134,150,105.432288,67.50134037431246,0
67.50134,150,108.013274,67.50134037431246,0
0,150,110.451303,0,0
3.774549,150,113.0453,3.7745485690626515,0
0,150,115.452119,0,0
0,150,117.941761,0,0
62.32338,150,120.435116,62.323379505596336,0
62.32338,150,122.960134,62.323379505596336,0
0,150,125.442017,0,0
0.687903,150,127.989744,0.6879032337763177,0
0,150,146.595373,0,0
0.579396,150,149.131342,0.5793956933548964,0
0,150,151.63836,0,0
0,150,154.161148,0,0
0,150,156.653981,0,0
0,150,159.13736,0,0
0,150,161.667898,0,0
0,150,164.097471,0,0
0.015771,150,166.623509,0.01577117199473166,0
0,150,169.032698,0,0
0,150,171.564067,0,0
0,150,174.083998,0,0
0.716062,150,176.566133,0.716061760648466,0
0,150,179.0581,0,0
0,150,197.356369,0,0
0,150,199.872412,0,0
0,150,202.390647,0,0
0.338672,150,204.910837,0.338671870884257,0
0,150,207.477674,0,0
0.471455,150,210.049347,0.4714546110006116,0
0.123959,150,212.557298,0.12395928401509215,0
0,150,214.996534,0,0
0,150,217.503561,0,0
0,150,220.038234,0,0
0.390167,150,222.463065,0.39016711801945325,0
0,150,225.003176,0,0
0.050522,150,227.540861,0.050521957215318825,0
0,150,230.015207,0,0
0,150,248.061537,0,0
0,150,250.704655,0,0
3.774549,150,253.269367,3.7745485690626515,0
0.045943,150,255.78507,0.045943423749343126,0
0,150,258.275879,0,0
0,150,260.770054,0,0
0.753869,150,263.25547,0.7538688572024677,0.7538688572024677
0,150,265.805224,0,0
0.226009,150,268.336557,0.22600943294619058,0
0,150,270.812766,0,0
0,150,273.304508,0,0
0.766429,150,275.841007,0.7664286151876645,0
0,150,278.353494,0,0
0.549989,150,294.706293,0.5499893691887284,0.5499893691887284
0,150,297.241267,0,0
0,150,299.732604,0,0
0,150,302.178884,0,0
67.50134,150,304.744517,67.50134037431246,0
0,150,307.180998,0,0
0,150,309.712672,0,0
0,150,312.222327,0,0
0,150,314.693653,0,0
0.149121,150,317.201938,0.1491209048479445,0
0,150,319.751138,0,0
0.699788,150,322.241332,0.699788346640645,0
0,150,324.735864,0,0
0,150,327.238349,0,0
0,150,343.757572,0,0
0,150,346.251058,0,0
61.32622,150,348.745888,61.32621953746374,0
0,150,351.289611,0,0
0,150,353.755877,0,0
0,150,356.255585,0,0
0.61947,150,358.78531,0.6194698457594956,0
0,150,361.252492,0,0
0.392754,150,363.774136,0.3927538709847137,0
0,150,366.267159,0,0
0.161071,150,368.666854,0.1610707132882223,0.1610707132882223
4.505405,150,371.299081,4.505405198866216,0
62.32338,150,373.763394,62.323379505596336,0
0.556263,150,376.291882,0.5562633045719854,0
0,150,392.854708,0,0
0,150,395.36664,0,0
0,150,397.796619,0,0
0.379271,150,400.328877,0.3792712576884659,0
0.379271,150,402.806757,0.3792712576884659,0
0,150,405.284248,0,0
0,150,407.75823,0,0
94.071831,150,410.310001,94.07183063123934,0
0,150,412.7711,0,0
0,150,415.305743,0,0
0,150,417.812395,0,0
0,150,420.336664,0,0
35.370409,150,422.814155,35.37040882868217,0
0,150,439.223828,0,0
0,150,441.669735,0,0
0.0402,150,444.198606,0.04019991951172075,0
0,150,446.692302,0,0
0.235298,150,449.149938,0.23529759122696015,0
0,150,451.682377,0,0
0,150,454.143445,0,0
0,150,456.663982,0,0
0,150,459.223317,0,0
0,150,461.712535,0,0
0.087584,150,464.285453,0.08758359098824764,0
0.207646,150,466.790401,0.20764621627249746,0
61.32622,150,469.373217,61.32621953746374,0
0,150,471.793449,0,0
0,150,488.319466,0,0
67.50134,150,490.797512,67.50134037431246,0
0,150,493.282964,0,0
0,150,495.808113,0,0
0.771638,150,498.302579,0.7716379663707473,0.7716379663707473
11.034279,150,500.830007,11.034278511280236,0
3.774549,150,503.332292,3.7745485690626515,0
61.32622,150,505.77869,61.32621953746374,0
0,150,508.348588,0,0
0,150,510.877369,0,0
0,150,513.388873,0,0
11.034279,150,515.854405,11.034278511280236,0
0,150,518.402158,0,0
0,150,520.937333,0,0
0,150,539.403671,0,0
0,150,541.86175,0,0
0.981337,150,544.370912,0.9813365240419244,0
0.658586,150,546.870975,0.6585857513230812,0
0,150,549.353788,0,0
11.034279,150,551.893993,11.034278511280236,0
0,150,554.415972,0,0
0,150,556.906034,0,0
0,150,559.419266,0,0
0,150,561.930614,0,0
0,150,564.40923,0,0
0,150,566.897898,0,0
0,150,569.392439,0,0
0,150,585.792356,0,0
0.300222,150,588.346353,0.3002220243645368,0
0,150,590.814406,0,0
0,150,593.317751,0,0
0,150,595.803319,0,0
1.416475,150,598.257832,1.416474886546648,1.416474886546648
0,150,600.732625,0,0
0,150,603.186808,0,0
0,150,605.656553,0,0
7.364967,150,608.213161,7.3649667362368945,0
0,150,610.691473,0,0
0,150,613.174551,0,0
0.269408,150,615.683656,0.26940803821596204,0.26940803821596204
62.32338,150,618.211047,62.323379505596336,0
6.831039,150,635.281884,6.831038851466957,0
0.563713,150,637.839246,0.5637128610294805,0.5637128610294805
0.176899,150,640.265881,0.17689949211470157,0.17689949211470157
0,150,642.7692,0,0
6.634592,150,645.240063,6.634592288351303,0
1.859515,150,647.816118,1.859515460303983,0
0,150,650.276386,0,0
0,150,652.84231,0,0
0,150,655.340327,0,0
0.523592,150,657.791367,0.5235923510692135,0
0.259544,150,660.317249,0.2595442369883534,0.2595442369883534
0.12287,150,662.823279,0.12287008796726828,0
0,150,665.272689,0,0
0,150,667.748091,0,0
0,150,684.272463,0,0
0,150,686.73317,0,0
0.126205,150,689.246132,0.1262047232005733,0
0,150,691.717491,0,0
0,150,694.27435,0,0
0,150,696.78037,0,0
0,150,699.273165,0,0
0,150,701.886119,0,0
0,150,704.496521,0,0
1.152752,150,707.107253,1.1527520795073696,1.1527520795073696
0.065735,150,709.813009,0.06573484089644599,0
0.061012,150,712.420477,0.06101209387817452,0
0,150,715.068847,0,0
0,150,730.431372,0,0
0,150,733.039286,0,0
0,150,735.656473,0,0
0,150,738.258521,0,0
65.981252,150,741.016993,65.98125228865436,0
0,150,743.662661,0,0
1.278031,150,746.307553,1.2780306181977343,0
0,150,748.947564,0,0
11.034279,150,751.609227,11.034278511280236,0
0.022297,150,754.40801,0.022296663630853697,0
0,150,757.015437,0,0
0,150,759.671816,0,0
0,150,762.163356,0,0
0.570235,150,764.63415,0.5702351839824131,0
0,150,780.505622,0,0
0,150,782.997142,0,0
61.32622,150,785.471287,61.32621953746374,0
0,150,787.961709,0,0
0,150,790.476302,0,0
0.136784,150,793.085835,0.1367841435332915,0
0.417327,150,795.64922,0.4173271712949256,0
0,150,798.088885,0,0
0,150,800.612943,0,0
0,150,803.089526,0,0
0,150,805.682977,0,0
0,150,808.261936,0,0
0,150,810.87896,0,0
0.94757,150,813.463528,0.9475702906732492,0
0,150,829.912532,0,0
0,150,832.605773,0,0
0.688363,150,835.103747,0.6883632417202368,0
0,150,837.726283,0,0
0,150,840.3295,0,0
0,150,842.967362,0,0
0,150,845.54083,0,0
0.534482,150,848.157526,0.5344823480771517,0
0.417934,150,850.767153,0.4179343405218031,0
0,150,853.439935,0,0
0,150,856.01357,0,0
0,150,858.521129,0,0
0,150,861.13708,0,0
1.750732,150,877.379264,1.7507323490115458,0
0,150,880.068184,0,0
2.952667,150,882.770583,2.9526674549122545,0
0,150,885.415502,0,0
0,150,888.040714,0,0
0.157197,150,890.668071,0.15719661972294785,0
0,150,893.243403,0,0
0,150,895.842298,0,0
1.976029,150,898.512333,1.976029497452034,1.976029497452034
0,150,901.096655,0,0
0,150,903.680866,0,0
0,150,906.247566,0,0
0,150,908.855613,0,0
0.051043,150,911.463135,0.05104316858158908,0
0,150,927.544377,0,0
0,150,930.21749,0,0
0,150,932.827712,0,0
0,150,935.506334,0,0
0,150,938.059725,0,0
0.320964,150,940.680967,0.32096433928435264,0
