# {"t_start": 1616588549.1332994, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,3.5136,0,0
0,150,5.463061,0,0
0,150,7.411139,0,0
0,150,9.443388,0,0
0,150,11.671669,0,0
0,150,14.027806,0,0
0,150,16.39746,0,0
0.084778,150,18.76914,0.08477790553457065,0.08477790553457065
0,150,21.1659,0,0
0,150,23.549013,0,0
0.044028,150,25.921285,0.04402780164406794,0.04402780164406794
0,150,28.283654,0,0
0,150,30.664944,0,0
0,150,47.072456,0,0
0,150,49.451716,0,0
0,150,51.837003,0,0
0,150,54.222446,0,0
0,150,56.600861,0,0
0,150,58.971937,0,0
0,150,61.356356,0,0
0.009365,150,63.721149,0.009365258646422236,0.009365258646422236
0,150,66.098303,0,0
0,150,68.45112,0,0
0,150,70.805246,0,0
0,150,73.165237,0,0
0,150,75.540018,0,0
0,150,77.933896,0,0
0,150,94.392688,0,0
0,150,96.75516,0,0
0,150,99.119085,0,0
0,150,101.479492,0,0
0,150,103.842008,0,0
0,150,106.202897,0,0
0,150,108.60243,0,0
0,150,110.99279,0,0
0,150,113.352162,0,0
0,150,115.712571,0,0
0,150,118.067415,0,0
0,150,120.421729,0,0
0,150,122.745982,0,0
0,150,139.016146,0,0
0,150,141.38683,0,0
0,150,143.753391,0,0
0,150,146.124026,0,0
0,150,148.487288,0,0
0,150,150.866477,0,0
0,150,153.242796,0,0
0,150,155.613883,0,0
0,150,157.963428,0,0
0,150,160.299629,0,0
0,150,162.656203,0,0
0,150,165.011152,0,0
0,150,167.365718,0,0
0,150,169.738045,0,0
0,150,186.136881,0,0
0,150,188.489061,0,0
0,150,190.856347,0,0
0,150,193.247411,0,0
0,150,195.618868,0,0
0,150,197.973212,0,0
0,150,200.352501,0,0
0,150,202.713109,0,0
0,150,205.083453,0,0
0.211957,150,207.450726,0.2119567678653025,0.2119567678653025
0,150,209.832527,0,0
0,150,212.227652,0,0
0,150,214.591756,0,0
0,150,216.968735,0,0
0,150,233.382915,0,0
0,150,235.744075,0,0
0,150,238.062284,0,0
0,150,240.414467,0,0
0,150,242.783084,0,0
0.284363,150,245.156258,0.28436320582548313,0.28436320582548313
0,150,247.527004,0,0
0,150,249.883223,0,0
0,150,252.243083,0,0
0,150,254.615736,0,0
0,150,256.965292,0,0
0,150,259.330525,0,0
0,150,261.675483,0,0
0,150,278.578041,0,0
0,150,280.955152,0,0
0,150,283.318146,0,0
0,150,285.708827,0,0
0,150,288.092683,0,0
0,150,290.475968,0,0
0,150,292.856547,0,0
0,150,295.222367,0,0
0,150,297.565561,0,0
0,150,299.93796,0,0
0,150,302.288316,0,0
0,150,304.64227,0,0
0,150,306.995374,0,0
0,150,309.34168,0,0
0,150,325.85469,0,0
0,150,328.234233,0,0
0,150,330.593702,0,0
0,150,332.964489,0,0
0,150,335.314549,0,0
0,150,337.711541,0,0
0,150,340.091969,0,0
0,150,342.47751,0,0
0,150,344.839868,0,0
0,150,347.233848,0,0
0,150,349.619743,0,0
0,150,351.992374,0,0
0,150,354.341538,0,0
0,150,356.697454,0,0
0,150,374.085308,0,0
0,150,376.469043,0,0
0,150,378.824046,0,0
0,150,381.206567,0,0
0,150,383.561769,0,0
0.217413,150,385.943493,0.2174129852178045,0.2174129852178045
0,150,388.32444,0,0
0,150,390.674991,0,0
0,150,393.058069,0,0
0,150,395.431622,0,0
0,150,397.78575,0,0
0,150,400.159868,0,0
0,150,402.510229,0,0
0.141428,150,418.9055,0.14142830239562576,0.14142830239562576
0,150,421.278074,0,0
0,150,423.655636,0,0
0,150,426.011245,0,0
0,150,428.378044,0,0
0,150,430.747398,0,0
0,150,433.098324,0,0
0,150,435.45147,0,0
0,150,437.807475,0,0
0,150,440.170098,0,0
0,150,442.537038,0,0
0,150,444.903046,0,0
0,150,447.26563,0,0
0,150,449.642848,0,0
0.303215,150,466.08626,0.3032146306682172,0.3032146306682172
0,150,468.451512,0,0
0,150,470.800282,0,0
0,150,473.184635,0,0
0,150,475.52973,0,0
0,150,477.866264,0,0
0,150,480.227632,0,0
0,150,482.587955,0,0
0.837487,150,484.937679,0.8374874738009542,0.8374874738009542
0,150,487.300505,0,0
0.605227,150,489.682411,0.6052274873617516,0.6052274873617516
0,150,492.03952,0,0
0,150,494.383171,0,0
0,150,496.733744,0,0
0,150,513.351041,0,0
0,150,515.705142,0,0
0,150,518.054253,0,0
0,150,520.413126,0,0
0,150,522.766448,0,0
0,150,525.133512,0,0
0,150,527.474661,0,0
0,150,529.812037,0,0
0,150,532.153899,0,0
0,150,534.485991,0,0
0,150,536.855935,0,0
0,150,539.19978,0,0
0,150,541.54363,0,0
0,150,557.91619,0,0
0,150,560.289213,0,0
0,150,562.659942,0,0
0,150,565.032279,0,0
0,150,567.360722,0,0
0,150,569.699062,0,0
0,150,572.057676,0,0
0,150,574.398396,0,0
0,150,576.733916,0,0
0,150,579.04513,0,0
0,150,581.380869,0,0
0,150,583.759682,0,0
0,150,586.147954,0,0
0,150,588.525543,0,0
0,150,604.978699,0,0
0,150,607.347072,0,0
0,150,609.718868,0,0
0,150,612.096089,0,0
0,150,614.435703,0,0
0,150,616.794943,0,0
0.197665,150,619.165791,0.19766527546880674,0.19766527546880674
1.095619,150,621.5572,1.0956193687404663,1.0956193687404663
0,150,623.940111,0,0
0,150,626.287257,0,0
0.835916,150,628.663288,0.8359157655467675,0.8359157655467675
0.6287,150,631.033146,0.6286998859274844,0.6286998859274844
0,150,633.410189,0,0
0.573737,150,635.764042,0.5737372055280869,0.5737372055280869
0,150,652.145152,0,0
0,150,654.491104,0,0
0,150,656.854601,0,0
3.673613,150,659.209994,3.673612596500938,3.673612596500938
0.508777,150,661.575943,0.5087773232185588,0.5087773232185588
0,150,663.975438,0,0
0,150,666.344875,0,0
0,150,668.699589,0,0
0,150,671.10842,0,0
0,150,673.492798,0,0
0,150,675.868654,0,0
0,150,678.239797,0,0
0,150,680.598886,0,0
0,150,696.990597,0,0
0,150,699.353695,0,0
0,150,701.717971,0,0
0.038453,150,704.076147,0.03845345521206711,0.03845345521206711
0,150,706.441914,0,0
0,150,708.799399,0,0
0,150,711.15845,0,0
0,150,713.52763,0,0
0.338236,150,715.882529,0.33823624970126254,0.33823624970126254
0,150,718.215852,0,0
0,150,720.577541,0,0
0,150,722.94442,0,0
0,150,725.298959,0,0
0,150,727.640863,0,0
0.04327,150,744.029642,0.04326953921732002,0.04326953921732002
0,150,746.344701,0,0
0.231246,150,748.700657,0.2312463782901376,0.2312463782901376
0,150,751.048836,0,0
0.101667,150,753.396295,0.10166702715020803,0.10166702715020803
0,150,755.731431,0,0
0,150,758.083887,0,0
0,150,760.426688,0,0
0,150,762.770797,0,0
0,150,765.152414,0,0
0,150,767.528833,0,0
0,150,769.904188,0,0
0,150,772.306857,0,0
0,150,774.677656,0,0
2.222299,150,790.941367,2.222299440769792,2.222299440769792
0,150,793.294924,0,0
0,150,795.6315,0,0
0,150,797.975562,0,0
0,150,800.323229,0,0
0,150,802.673237,0,0
0,150,805.006897,0,0
0,150,807.367789,0,0
0,150,809.744922,0,0
0,150,812.123255,0,0
0,150,814.465595,0,0
0,150,816.834085,0,0
0,150,819.196434,0,0
0,150,835.526042,0,0
0.680693,150,837.890736,0.6806930685124903,0.6806930685124903
0,150,840.256482,0,0
0.30426,150,842.638876,0.30426011299244904,0.30426011299244904
0,150,844.994055,0,0
0,150,847.332834,0,0
0,150,849.729293,0,0
0,150,852.135959,0,0
0,150,854.496631,0,0
0,150,856.885828,0,0
0,150,859.249891,0,0
0,150,861.625711,0,0
0,150,863.98847,0,0
0,150,866.342869,0,0
0.214405,150,882.675715,0.2144045845911905,0.2144045845911905
0,150,885.065862,0,0
0,150,887.431303,0,0
0,150,889.803984,0,0
0,150,892.185703,0,0
0.112531,150,894.520146,0.11253121900857432,0.11253121900857432
0,150,896.872029,0,0
0,150,899.236767,0,0
0,150,901.617918,0,0
0,150,904.026743,0,0
0,150,906.382977,0,0
0,150,908.733743,0,0
0.26612,150,911.099338,0.26611967020339855,0.26611967020339855
0,150,913.480316,0,0
0,150,929.918705,0,0
0,150,932.296789,0,0
0,150,934.65884,0,0
