# {"t_start": 1611594562.0747557, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-432.056732,94,3.689659,-432.0567320613323,-432.0567320613323
-68.316286,71,4.342797,-68.31628644300986,-68.31628644300986
-153.355694,106,5.369587,-153.35569400867206,-153.35569400867206
-122.57058,80,6.130306,-122.57058035634849,-122.57058035634849
-135.040804,76,6.85472,-135.04080429819652,-135.04080429819652
-134.092992,68,7.504041,-134.09299154677547,-134.09299154677547
-154.258158,72,8.192228,-154.2581581106021,-154.2581581106021
-88.947649,84,9.009444,-88.94764917259577,-88.94764917259577
-121.098795,64,9.635203,-121.09879542578277,-121.09879542578277
-306.20516,110,10.707346,-306.2051598667699,-306.2051598667699
-88.503746,90,11.590492,-88.50374582723303,-88.50374582723303
-196.575203,104,12.585996,-196.5752029913928,-196.5752029913928
-232.232906,115,13.676816,-232.23290599203537,-232.23290599203537
-186.588465,137,14.997232,-186.58846540862012,-186.58846540862012
-83.21247,71,15.677449,-83.21247043844261,-83.21247043844261
-338.537106,84,16.492541,-338.5371055662757,-338.5371055662757
-62.805757,73,17.185034,-62.80575748112299,-62.80575748112299
-93.427024,95,18.10459,-93.4270238732404,-93.4270238732404
-132.394818,107,19.140767,-132.39481820099033,-132.39481820099033
-123.173573,95,20.059798,-123.17357270376591,-123.17357270376591
-240.851126,80,20.836609,-240.85112636483024,-240.85112636483024
-91.840873,111,21.902009,-91.84087286797157,-91.84087286797157
-186.109526,76,28.273626,-186.1095261134828,-186.1095261134828
-62.856596,69,28.962182,-62.856595966369156,-62.856595966369156
-302.025684,98,29.92733,-302.0256844928585,-302.0256844928585
-427.630839,93,30.837595,-427.6308391089709,-427.6308391089709
-95.99794,71,31.535673,-95.99794035258469,-95.99794035258469
-373.060462,101,32.515837,-373.0604619557032,-373.0604619557032
-73.727604,72,33.202588,-73.72760395328282,-73.72760395328282
-294.851975,103,34.21693,-294.85197461291796,-294.85197461291796
-87.493977,58,34.778427,-87.4939766517391,-87.4939766517391
-171.007733,159,36.337162,-171.00773258307024,-171.00773258307024
-128.984322,84,37.156947,-128.9843216201086,-128.9843216201086
-163.006844,97,38.096333,-163.00684410270884,-163.00684410270884
-181.380079,72,38.785714,-181.380079137538,-181.380079137538
-145.934832,127,40.020264,-145.93483244774245,-145.93483244774245
-121.085164,74,40.735045,-121.08516430476345,-121.08516430476345
-127.515355,60,41.319788,-127.51535539553706,-127.51535539553706
-138.400959,79,42.085146,-138.40095913305294,-138.40095913305294
-70.639305,80,42.864772,-70.63930539303584,-70.63930539303584
-93.26425,114,43.979777,-93.2642504981014,-93.2642504981014
-92.272688,76,44.718845,-92.27268779621592,-92.27268779621592
-160.072572,69,45.387929,-160.0725722479611,-160.0725722479611
-101.725505,89,46.249369,-101.7255046815929,-101.7255046815929
-119.165579,104,47.259195,-119.16557871899798,-119.16557871899798
-123.98017,67,47.910776,-123.98017046446162,-123.98017046446162
-318.794564,153,55.194301,-318.7945641042156,-318.7945641042156
-104.111587,102,56.173981,-104.11158664661119,-104.11158664661119
-113.767203,110,57.246953,-113.76720303241993,-113.76720303241993
-135.18551,112,58.348385,-135.1855101560264,-135.1855101560264
-171.137344,136,59.661326,-171.13734417999672,-171.13734417999672
-135.918365,114,60.771157,-135.91836455109237,-135.91836455109237
-101.19191,69,61.452756,-101.19191023298808,-101.19191023298808
-72.80471,105,62.48341,-72.80471003838817,-72.80471003838817
-180.406366,132,63.753346,-180.40636648784283,-180.40636648784283
-161.782022,69,64.405493,-161.7820217638698,-161.7820217638698
-144.973633,139,65.754804,-144.97363274765706,-144.97363274765706
-181.238953,92,66.648412,-181.23895330494742,-181.23895330494742
-132.732268,157,68.187411,-132.7322679954765,-132.7322679954765
-91.85591,89,69.056707,-91.8559098647208,-91.8559098647208
-26.736122,126,70.272626,-26.73612235266353,-26.73612235266353
-24.841988,65,70.911605,-24.84198762939097,-24.84198762939097
-102.665024,101,71.904297,-102.66502422138274,-102.66502422138274
-33.891191,70,72.588214,-33.891190924642586,-33.891190924642586
-55.417581,91,73.477476,-55.417580620106364,-55.417580620106364
-203.862159,92,80.202973,-203.86215864203518,-203.86215864203518
-85.027041,85,81.03465,-85.02704142864224,-85.02704142864224
-210.201599,96,81.955926,-210.20159931140955,-210.20159931140955
-113.485396,78,82.717944,-113.48539634197522,-113.48539634197522
-152.190163,136,84.052513,-152.19016261878997,-152.19016261878997
-172.342523,109,85.124171,-172.34252250013583,-172.34252250013583
-67.268004,80,85.907386,-67.26800398813018,-67.26800398813018
-135.779005,127,87.149645,-135.77900517695272,-135.77900517695272
-111.145944,88,88.004798,-111.14594415181831,-111.14594415181831
-79.317472,140,89.353776,-79.31747196016155,-79.31747196016155
-146.22877,99,90.321872,-146.22877034765327,-146.22877034765327
-130.148675,92,91.213364,-130.14867505270672,-130.14867505270672
-121.12119,121,92.386818,-121.12118995340307,-121.12118995340307
-160.497822,110,93.452048,-160.4978216451857,-160.4978216451857
-86.617429,72,94.14631,-86.61742929901042,-86.61742929901042
-90.762899,88,95.004468,-90.76289905367028,-90.76289905367028
-97.109018,64,95.623053,-97.1090183146106,-97.1090183146106
-107.596545,100,96.602312,-107.59654507093887,-107.59654507093887
-73.288789,70,97.289327,-73.28878868758294,-73.28878868758294
-85.232529,105,98.319326,-85.23252930049341,-85.23252930049341
-82.285559,100,99.301878,-82.28555917231219,-82.28555917231219
-138.059475,92,106.343427,-138.0594753461546,-138.0594753461546
-83.201993,75,107.08362,-83.20199283634223,-83.20199283634223
-78.410252,91,107.972905,-78.41025249340368,-78.41025249340368
-93.01845,90,108.85125,-93.01845016418798,-93.01845016418798
14.365252,138,110.188172,14.36525187781804,14.36525187781804
-127.032963,108,111.239212,-127.0329629165985,-127.0329629165985
-116.964198,98,112.198458,-116.9641980372906,-116.9641980372906
-390.75366,148,113.638831,-390.7536596962356,-390.7536596962356
-49.968454,145,115.040747,-49.968453843916606,-49.968453843916606
-188.085199,123,116.234,-188.08519916087084,-188.08519916087084
-74.457633,85,117.058039,-74.45763308119011,-74.45763308119011
-130.981901,99,118.014776,-130.98190106850393,-130.98190106850393
-329.480913,139,119.374942,-329.4809130273293,-329.4809130273293
-84.862046,80,120.161706,-84.86204618911158,-84.86204618911158
-104.566501,108,121.221293,-104.56650085017812,-104.56650085017812
-86.345721,97,122.159108,-86.34572051401014,-86.34572051401014
-62.967373,87,123.017478,-62.96737289826904,-62.96737289826904
-66.220374,92,123.920933,-66.22037432727197,-66.22037432727197
-25.777795,87,124.766357,-25.77779523815019,-25.77779523815019
-309.19492,95,125.69539,-309.19492008487697,-309.19492008487697
-221.790481,125,132.87987,-221.7904809388884,-221.7904809388884
-129.747863,110,133.943699,-129.74786302247088,-129.74786302247088
-9.85446,137,135.270849,-9.854460246451296,-9.854460246451296
-74.977124,120,136.440284,-74.97712367368406,-74.97712367368406
-142.899299,88,137.299979,-142.8992985143737,-142.8992985143737
-109.748396,72,138.000113,-109.74839609331134,-109.74839609331134
-237.544095,123,139.216495,-237.54409531240918,-237.54409531240918
-81.479454,111,140.30339,-81.47945431135852,-81.47945431135852
-136.119619,114,141.400986,-136.11961935007855,-136.11961935007855
-93.823502,101,142.382401,-93.82350203461262,-93.82350203461262
-19.119863,132,143.671952,-19.119862791376946,-19.119862791376946
-77.800225,75,144.407363,-77.80022491162373,-77.80022491162373
-48.625881,100,145.379717,-48.625881430201176,-48.625881430201176
-88.127214,112,146.474364,-88.12721355582303,-88.12721355582303
