# {"t_start": 1611594561.8167095, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-112.393275,71,3.734071,-112.3932747159845,-112.3932747159845
-179.260452,54,4.228793,-179.26045247201228,-179.26045247201228
-240.882744,102,5.192142,-240.88274437217166,-240.88274437217166
-243.731476,106,6.217175,-243.73147599522707,-243.73147599522707
-291.025223,101,7.179322,-291.02522341046017,-291.02522341046017
-110.89175,75,7.894284,-110.89174967091147,-110.89174967091147
-116.191298,76,8.630297,-116.19129838821978,-116.19129838821978
-142.941778,101,9.608058,-142.94177834099733,-142.94177834099733
-368.645701,85,10.440022,-368.6457011209336,-368.6457011209336
-156.618206,71,11.133756,-156.6182059180117,-156.6182059180117
-122.400897,99,12.097674,-122.40089661189984,-122.40089661189984
-236.701952,107,13.118371,-236.7019523666373,-236.7019523666373
-229.223217,85,13.924999,-229.2232165109779,-229.2232165109779
-219.765226,73,14.638738,-219.76522565312263,-219.76522565312263
-300.536269,131,15.889252,-300.53626922705314,-300.53626922705314
-85.088182,75,16.613296,-85.08818233328766,-85.08818233328766
-110.365398,65,17.235082,-110.3653981432769,-110.3653981432769
-169.976772,87,18.072159,-169.9767723416531,-169.9767723416531
-68.541818,73,18.783578,-68.54181773167284,-68.54181773167284
-266.534247,72,19.478111,-266.5342474119857,-266.5342474119857
-222.987817,82,20.26835,-222.98781700955024,-222.98781700955024
-144.352688,81,21.056533,-144.35268795954045,-144.35268795954045
-236.752541,98,21.996489,-236.75254073535584,-236.75254073535584
-142.77747,90,28.500367,-142.77747040467267,-142.77747040467267
-237.342391,86,29.360605,-237.3423912440343,-237.3423912440343
-111.573959,125,30.587377,-111.5739586308065,-111.5739586308065
-364.083243,104,31.605745,-364.0832431159133,-364.0832431159133
-393.373629,90,32.480912,-393.3736290372853,-393.3736290372853
-92.645923,135,33.781825,-92.6459234722527,-92.6459234722527
-115.943326,79,34.562239,-115.94332629430986,-115.94332629430986
-28.878638,88,35.421332,-28.878638276547633,-28.878638276547633
-354.617979,128,36.672666,-354.6179794775023,-354.6179794775023
-132.851291,91,37.55862,-132.85129135119894,-132.85129135119894
-121.062411,107,38.593591,-121.06241068176412,-121.06241068176412
-117.749309,103,39.580484,-117.74930926939679,-117.74930926939679
-222.855155,54,40.113517,-222.85515453440138,-222.85515453440138
-131.408522,79,40.875062,-131.4085218364776,-131.4085218364776
-94.973856,70,41.55833,-94.97385631803316,-94.97385631803316
-113.13464,93,42.460825,-113.13463965015552,-113.13463965015552
-224.309314,72,43.162342,-224.30931447020888,-224.30931447020888
-83.199074,69,43.835587,-83.19907381011659,-83.19907381011659
-102.490589,70,44.520332,-102.49058882139187,-102.49058882139187
-109.030564,75,45.2471,-109.03056432260425,-109.03056432260425
-134.732478,120,46.410665,-134.7324777872134,-134.7324777872134
-95.850977,126,47.634272,-95.85097711018868,-95.85097711018868
-376.530401,103,54.418609,-376.53040126591503,-376.53040126591503
-311.691111,79,55.201259,-311.69111085280446,-311.69111085280446
-353.721327,93,56.090141,-353.7213271880387,-353.7213271880387
-152.073952,97,57.031843,-152.0739517699052,-152.0739517699052
-81.157406,93,57.945945,-81.15740599563318,-81.15740599563318
-108.738928,122,59.141394,-108.738927675936,-108.738927675936
-285.449255,100,60.106482,-285.4492546644982,-285.4492546644982
-102.768382,66,60.746578,-102.76838232392514,-102.76838232392514
-128.77442,72,61.458034,-128.7744197464156,-128.7744197464156
-102.356687,74,62.182768,-102.35668733430647,-102.35668733430647
-420.699125,112,63.276927,-420.6991253306159,-420.6991253306159
-438.850257,98,64.207402,-438.85025677815844,-438.85025677815844
-242.424437,81,64.978101,-242.42443717830244,-242.42443717830244
-38.268917,69,65.649971,-38.26891710118065,-38.26891710118065
-63.206738,81,66.438652,-63.20673842149498,-63.20673842149498
-41.441984,79,67.210946,-41.441984090221595,-41.441984090221595
-450.946778,97,68.163042,-450.94677764684144,-450.94677764684144
-123.828445,148,69.608801,-123.82844455623207,-123.82844455623207
-98.302577,63,70.204706,-98.30257717133105,-98.30257717133105
-98.827697,137,71.54617,-98.82769657391903,-98.82769657391903
-199.744494,193,73.438731,-199.74449407884845,-199.74449407884845
-86.834803,89,80.139053,-86.83480332688521,-86.83480332688521
-189.522782,110,81.213348,-189.52278244854364,-189.52278244854364
-44.621259,81,81.99028,-44.621258814068945,-44.621258814068945
-82.344628,88,82.847399,-82.34462760168928,-82.34462760168928
-406.742737,151,84.330247,-406.7427368483116,-406.7427368483116
-80.129204,73,85.044378,-80.12920396687454,-80.12920396687454
-91.892488,129,86.315956,-91.89248839582524,-91.89248839582524
-67.656479,74,87.033158,-67.65647943975756,-67.65647943975756
-49.278825,89,87.905664,-49.27882522267012,-49.27882522267012
-101.826606,136,89.222636,-101.82660571333479,-101.82660571333479
-375.546734,102,90.203979,-375.54673427060106,-375.54673427060106
-239.645092,120,91.372902,-239.64509244354065,-239.64509244354065
-0.93351,71,92.065759,-0.9335101699829806,-0.9335101699829806
-50.282065,78,92.819534,-50.28206492837414,-50.28206492837414
-62.202535,76,93.555842,-62.20253514385033,-62.20253514385033
-168.229106,150,95.009399,-168.22910552990305,-168.22910552990305
-68.591277,98,95.961604,-68.59127704412569,-68.59127704412569
-231.610033,133,97.266185,-231.61003281133617,-231.61003281133617
-58.105663,76,98.005501,-58.10566276604304,-58.10566276604304
-58.862692,125,99.240367,-58.8626917480606,-58.8626917480606
-91.082231,94,106.290563,-91.08223141990973,-91.08223141990973
-201.443773,89,107.174732,-201.44377284807263,-201.44377284807263
-294.565129,99,108.143407,-294.5651288496862,-294.5651288496862
-93.622512,128,109.388951,-93.62251155132807,-93.62251155132807
-69.237292,74,110.100034,-69.23729155698855,-69.23729155698855
-120.262103,103,111.107076,-120.26210271030561,-120.26210271030561
-209.488535,106,112.1449,-209.48853469290967,-209.48853469290967
-87.451649,102,113.134767,-87.4516489187489,-87.4516489187489
-176.282141,107,114.184053,-176.28214075325013,-176.28214075325013
-111.529553,79,114.941791,-111.52955346467562,-111.52955346467562
-51.573886,89,115.799946,-51.57388570347701,-51.57388570347701
2.154642,117,116.936893,2.154642226061881,2.154642226061881
-103.074398,81,117.720076,-103.07439766074815,-103.07439766074815
-305.450197,85,118.545507,-305.4501967945461,-305.4501967945461
-102.339548,124,119.763048,-102.33954812102257,-102.33954812102257
-155.868695,111,120.852293,-155.86869479896762,-155.86869479896762
-443.568282,139,122.204802,-443.5682822813322,-443.5682822813322
-78.224997,78,122.967067,-78.22499745926184,-78.22499745926184
-198.318662,116,124.112893,-198.31866153530507,-198.31866153530507
-61.654353,106,125.140513,-61.654352916951915,-61.654352916951915
-229.93877,108,132.140007,-229.93877048677328,-229.93877048677328
-66.960245,94,133.077788,-66.96024548933465,-66.96024548933465
-216.831514,134,134.377297,-216.83151384822466,-216.83151384822466
-288.345477,116,135.500205,-288.3454770032953,-288.3454770032953
-111.313259,112,136.592426,-111.31325896725755,-111.31325896725755
-38.781791,79,137.361564,-38.781791030731256,-38.781791030731256
-278.239446,88,138.217808,-278.23944606878774,-278.23944606878774
-270.88451,98,139.181264,-270.8845095925178,-270.8845095925178
-121.90295,114,140.301698,-121.90295037204558,-121.90295037204558
-145.171409,148,141.734453,-145.17140914381736,-145.17140914381736
-272.186384,82,142.53501,-272.18638375520425,-272.18638375520425
-349.02424,107,143.579136,-349.02424020873224,-349.02424020873224
-102.340913,94,144.502171,-102.34091324127941,-102.34091324127941
-249.147945,131,145.771649,-249.14794531528284,-249.14794531528284
-405.841864,123,146.982414,-405.84186372128437,-405.84186372128437
-25.124812,77,147.738622,-25.124811760054712,-25.124811760054712
-99.367517,108,148.805578,-99.3675173544906,-99.3675173544906
-81.368546,130,150.070845,-81.36854592867778,-81.36854592867778
-127.638627,107,151.124733,-127.6386272573874,-127.6386272573874
-179.793172,68,151.787404,-179.7931716632957,-179.7931716632957
-255.214279,110,158.58127,-255.21427916217974,-255.21427916217974
-44.791469,137,159.923876,-44.79146925578071,-44.79146925578071
-408.596252,116,161.065715,-408.59625230768097,-408.59625230768097
-140.809131,65,161.702669,-140.80913059073995,-140.80913059073995
-57.699543,72,162.399308,-57.69954316626821,-57.69954316626821
-76.380137,99,163.369395,-76.38013689558629,-76.38013689558629
-30.949746,117,164.498636,-30.949746050295772,-30.949746050295772
-72.423476,127,165.747431,-72.42347591212848,-72.42347591212848
-212.903983,103,166.766131,-212.90398345462847,-212.90398345462847
-46.349044,122,167.958977,-46.349043571869224,-46.349043571869224
-95.272652,119,169.133064,-95.27265198058906,-95.27265198058906
-195.440307,96,170.074621,-195.4403071898504,-195.4403071898504
-89.688577,79,170.85075,-89.6885766513601,-89.6885766513601
-227.36699,103,171.857217,-227.36699027773125,-227.36699027773125
-77.415375,73,172.565645,-77.41537486848661,-77.41537486848661
-164.477857,98,173.52037,-164.4778572047548,-164.4778572047548
-41.925491,106,174.574779,-41.92549117288104,-41.92549117288104
-39.792021,111,175.671463,-39.79202072119398,-39.79202072119398
-51.238384,78,176.43758,-51.23838400460507,-51.23838400460507
-101.623003,122,177.63247,-101.62300267339438,-101.62300267339438
1.38062,87,184.562275,1.3806203948262663,1.3806203948262663
-121.573617,93,185.481517,-121.57361658547282,-121.57361658547282
44.643319,161,187.075697,44.6433191451348,44.6433191451348
-52.506892,117,188.232645,-52.50689237787693,-52.50689237787693
-178.36042,154,189.759233,-178.36042012110278,-178.36042012110278
-28.964084,95,190.706339,-28.964084414706832,-28.964084414706832
-62.668263,117,191.86144,-62.66826322275996,-62.66826322275996
-82.871222,96,192.797413,-82.8712218234851,-82.8712218234851
-62.050528,96,193.747243,-62.05052775209237,-62.05052775209237
10.6451,81,194.54021,10.6451001645014,10.6451001645014
-43.377731,96,195.489871,-43.37773108017097,-43.37773108017097
-220.267412,121,196.675238,-220.26741240683663,-220.26741240683663
-72.737778,85,197.518411,-72.7377779678132,-72.7377779678132
-323.518911,141,198.91042,-323.5189106589489,-323.5189106589489
