# {"t_start": 1611594562.999559, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-32.063369,66,2.508768,-32.06336932578927,-32.06336932578927
-86.214493,79,3.229795,-86.21449282269135,-86.21449282269135
-108.218938,87,4.061026,-108.21893842344302,-108.21893842344302
-486.739077,111,5.130407,-486.7390770961521,-486.7390770961521
-150.973268,94,6.026961,-150.9732675662469,-150.9732675662469
-292.602156,106,7.039874,-292.60215607397413,-292.60215607397413
-115.308571,79,7.805322,-115.30857129486493,-115.30857129486493
-110.194148,99,8.771829,-110.19414824205654,-110.19414824205654
-115.001974,85,9.600235,-115.00197443179864,-115.00197443179864
-84.735135,74,10.327665,-84.73513502545879,-84.73513502545879
-395.525421,100,11.285548,-395.52542077837245,-395.52542077837245
-101.870542,69,11.946074,-101.87054231765069,-101.87054231765069
-95.352863,73,12.636157,-95.35286342400808,-95.35286342400808
-82.861103,66,13.279364,-82.86110288183784,-82.86110288183784
-319.772223,104,14.271168,-319.77222259256837,-319.77222259256837
-351.902788,86,15.101789,-351.90278809658344,-351.90278809658344
-161.017941,104,16.101097,-161.01794052925194,-161.01794052925194
-171.2572,82,16.890389,-171.2571996611656,-171.2571996611656
-101.910837,98,17.845355,-101.91083677791491,-101.91083677791491
-79.49955,65,18.470237,-79.49954979032027,-79.49954979032027
-122.397754,69,19.136682,-122.39775394258773,-122.39775394258773
-257.54791,105,20.155966,-257.54791023204314,-257.54791023204314
-163.895936,109,21.20275,-163.89593560037812,-163.89593560037812
-277.422318,113,27.949201,-277.4223180039337,-277.4223180039337
-119.759801,108,29.014564,-119.7598005277136,-119.7598005277136
-157.229445,92,29.914265,-157.22944521085975,-157.22944521085975
-91.307303,72,30.6229,-91.30730318036787,-91.30730318036787
-148.335283,116,31.743035,-148.335283404358,-148.335283404358
-177.841064,98,32.689168,-177.84106351280047,-177.84106351280047
-337.535601,80,33.47881,-337.5356010258744,-337.5356010258744
-72.153798,109,34.543183,-72.15379804652076,-72.15379804652076
-108.966561,85,35.374935,-108.96656102742676,-108.96656102742676
-42.40503,65,36.005583,-42.405030120644255,-42.405030120644255
-112.553636,80,36.78104,-112.55363619961363,-112.55363619961363
-147.667803,110,37.842838,-147.66780257370303,-147.66780257370303
