# {"t_start": 1611594562.417796, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-202.65244,126,3.637617,-202.65244015293916,-202.65244015293916
-138.258511,117,4.75206,-138.25851126161865,-138.25851126161865
-316.404365,80,5.52261,-316.4043649171293,-316.4043649171293
-276.337421,137,6.828564,-276.33742135320654,-276.33742135320654
-313.003852,93,7.717258,-313.00385154774403,-313.00385154774403
-284.295887,95,8.637964,-284.2958869815611,-284.2958869815611
-95.669153,105,9.663691,-95.66915276316428,-95.66915276316428
-113.340784,67,10.317242,-113.34078392484832,-113.34078392484832
-157.971366,91,11.207411,-157.97136637054393,-157.97136637054393
-354.183739,102,12.183019,-354.18373944763687,-354.18373944763687
-77.903366,90,13.037389,-77.90336610917682,-77.90336610917682
-89.443802,92,13.930384,-89.44380239209917,-89.44380239209917
-51.858456,74,14.636601,-51.858456152498846,-51.858456152498846
-340.574323,81,15.409775,-340.57432307635725,-340.57432307635725
-197.145803,102,16.398595,-197.14580292674586,-197.14580292674586
-75.37416,67,17.038843,-75.37416037992541,-75.37416037992541
-414.700776,125,18.252332,-414.7007759621301,-414.7007759621301
-114.66196,56,18.788201,-114.66196046786484,-114.66196046786484
-149.962898,69,19.453574,-149.9628975530068,-149.9628975530068
-126.633906,142,20.831754,-126.6339057137416,-126.6339057137416
-24.546528,68,21.48333,-24.546528155025257,-24.546528155025257
-107.42643,77,27.856061,-107.42643019797947,-107.42643019797947
-199.499326,107,28.928482,-199.49932609739932,-199.49932609739932
-323.983361,130,30.207044,-323.9833607892633,-323.9833607892633
-365.274736,90,31.084837,-365.2747361046271,-365.2747361046271
-381.292593,107,32.126382,-381.29259302013725,-381.29259302013725
-163.731004,72,32.813271,-163.7310041421884,-163.7310041421884
-124.956157,63,33.431006,-124.95615730322422,-124.95615730322422
-316.768456,99,34.399025,-316.7684555849754,-316.7684555849754
-192.289022,76,35.144622,-192.28902155844585,-192.28902155844585
-123.723773,111,36.229325,-123.72377270280396,-123.72377270280396
25.946284,83,37.036019,25.946284406803215,25.946284406803215
-165.981867,132,38.31184,-165.9818669127152,-165.9818669127152
-101.077868,80,39.079651,-101.07786820470153,-101.07786820470153
-366.320135,123,40.274343,-366.3201354672607,-366.3201354672607
-157.090949,98,41.228137,-157.0909490232163,-157.0909490232163
-69.953476,66,41.869799,-69.95347595378075,-69.95347595378075
-88.665905,84,42.689135,-88.66590476959816,-88.66590476959816
-215.856224,92,43.591001,-215.85622379956462,-215.85622379956462
-152.996383,134,44.89169,-152.99638267662687,-152.99638267662687
-484.806095,141,46.255151,-484.80609524925114,-484.80609524925114
-68.913943,86,47.093035,-68.9139426229516,-68.9139426229516
-208.318684,112,53.967286,-208.31868390164738,-208.31868390164738
-194.384484,94,54.889774,-194.38448423428147,-194.38448423428147
-149.204734,93,55.784968,-149.20473392537895,-149.20473392537895
-43.156745,110,56.854693,-43.15674525382002,-43.15674525382002
-143.46886,84,57.675152,-143.46886019220224,-143.46886019220224
-141.993798,156,59.19394,-141.9937975853327,-141.9937975853327
3.341451,149,60.650117,3.3414509006024673,3.3414509006024673
-69.545871,78,61.417839,-69.54587074084279,-69.54587074084279
-79.49384,73,62.132195,-79.49384030865166,-79.49384030865166
-107.449634,77,62.873739,-107.44963421082353,-107.44963421082353
-100.568916,111,63.932867,-100.56891576731803,-100.56891576731803
-116.275794,104,64.931861,-116.27579424366552,-116.27579424366552
-87.210712,68,65.594835,-87.210711871961,-87.210711871961
-140.568641,106,66.630243,-140.5686413649206,-140.5686413649206
-308.298284,111,67.715495,-308.2982836330383,-308.2982836330383
-151.109188,98,68.674932,-151.10918810667465,-151.10918810667465
-127.006968,110,69.732095,-127.00696765994581,-127.00696765994581
-195.301776,121,70.915088,-195.3017755977215,-195.3017755977215
-79.096592,85,71.761065,-79.096592213646,-79.096592213646
-151.214048,123,72.959044,-151.21404751874724,-151.21404751874724
-120.159192,98,79.743282,-120.15919240382102,-120.15919240382102
-273.229767,144,81.142257,-273.2297674200972,-273.2297674200972
-60.275533,89,81.99864,-60.27553265773236,-60.27553265773236
-119.438598,121,83.187465,-119.43859778138585,-119.43859778138585
-253.749155,94,84.113032,-253.74915546273496,-253.74915546273496
-12.777877,82,84.917405,-12.777877009577978,-12.777877009577978
-78.333895,101,85.909246,-78.33389545193859,-78.33389545193859
-124.531483,67,86.56011,-124.53148280931289,-124.53148280931289
-72.427785,133,87.856688,-72.42778496701982,-72.42778496701982
-90.815491,105,88.871356,-90.81549119519042,-90.81549119519042
-270.533429,84,89.684472,-270.5334291369984,-270.5334291369984
-439.156878,104,90.69202,-439.15687787927067,-439.15687787927067
-198.064837,101,91.677301,-198.0648369172221,-198.0648369172221
-210.919408,129,92.926289,-210.91940803045017,-210.91940803045017
-123.980508,77,93.667353,-123.98050816129964,-123.98050816129964
-165.694301,104,94.681818,-165.69430095866332,-165.69430095866332
-116.749098,109,95.751291,-116.74909828170898,-116.74909828170898
-63.8376,93,96.656269,-63.83760023347938,-63.83760023347938
-234.013111,98,97.614798,-234.01311129606177,-234.01311129606177
-137.67273,119,98.787541,-137.67273028070915,-137.67273028070915
-100.493093,140,106.301564,-100.4930934217435,-100.4930934217435
-99.965868,91,107.189413,-99.96586832266084,-99.96586832266084
-74.584414,109,108.256021,-74.58441369849213,-74.58441369849213
-152.803272,102,109.240707,-152.80327237789447,-152.80327237789447
-75.72947,93,110.147748,-75.72946992861438,-75.72946992861438
