# {"t_start": 1611594562.9404316, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-77.305944,65,2.56003,-77.30594420601045,-77.30594420601045
-260.628579,66,3.162987,-260.62857893778886,-260.62857893778886
-249.183062,68,3.802291,-249.18306187168739,-249.18306187168739
-115.369288,81,4.5942,-115.36928811488062,-115.36928811488062
-194.848688,83,5.380451,-194.84868821891303,-194.84868821891303
-139.05286,75,6.097785,-139.0528595773402,-139.0528595773402
-268.645159,89,6.94757,-268.6451594535439,-268.6451594535439
-419.926653,100,7.914671,-419.9266525129345,-419.9266525129345
-100.156097,116,9.048129,-100.15609667633248,-100.15609667633248
-77.638739,79,9.816808,-77.63873929435287,-77.63873929435287
-110.018457,125,11.035355,-110.01845689030124,-110.01845689030124
-87.233953,83,11.829086,-87.23395339478054,-87.23395339478054
-118.271213,82,12.603709,-118.27121319027404,-118.27121319027404
-169.264651,126,13.826511,-169.2646508422495,-169.2646508422495
-88.431843,99,14.768734,-88.4318426275592,-88.4318426275592
-104.711597,80,15.542142,-104.71159680766416,-104.71159680766416
-356.656876,105,16.548811,-356.65687649185514,-356.65687649185514
-62.428582,120,17.713073,-62.42858165238583,-62.42858165238583
-257.043749,117,18.837397,-257.04374867566787,-257.04374867566787
-91.862827,71,19.529438,-91.86282689733497,-91.86282689733497
141.523601,299,28.070146,141.52360121278605,141.52360121278605
-59.931108,144,29.486231,-59.93110832817281,-59.93110832817281
-88.294171,86,30.328387,-88.29417086702179,-88.29417086702179
-235.463137,116,31.460488,-235.46313716139989,-235.46313716139989
-98.668075,64,32.072459,-98.66807460002636,-98.66807460002636
-312.726922,88,32.931405,-312.7269218528505,-312.7269218528505
-357.818208,100,33.906708,-357.818207530548,-357.818207530548
-249.36599,83,34.721925,-249.3659903024658,-249.3659903024658
-325.459505,108,35.777234,-325.4595052162981,-325.4595052162981
-82.071533,77,36.525116,-82.07153346664344,-82.07153346664344
-372.197064,106,37.553288,-372.1970635503336,-372.1970635503336
-112.558732,54,38.063412,-112.55873213150271,-112.55873213150271
-145.484706,77,38.818364,-145.48470590449534,-145.48470590449534
-100.84396,77,39.562858,-100.8439604513305,-100.8439604513305
-162.786905,94,40.476379,-162.78690500721942,-162.78690500721942
-382.319732,102,41.463739,-382.31973180032463,-382.31973180032463
-149.496245,77,42.220225,-149.49624480005144,-149.49624480005144
-144.411147,133,43.516867,-144.4111473672071,-144.4111473672071
-182.27181,113,44.612367,-182.27181044215652,-182.27181044215652
-145.185774,116,45.734718,-145.18577448351715,-145.18577448351715
-216.560549,97,46.678189,-216.56054928406326,-216.56054928406326
-269.307376,125,53.685664,-269.30737581431447,-269.30737581431447
-380.581574,93,54.586348,-380.5815740793812,-380.5815740793812
-196.282394,129,55.834129,-196.2823937219218,-196.2823937219218
-185.276833,115,56.96077,-185.27683295523036,-185.27683295523036
-207.640218,92,57.864812,-207.6402175084059,-207.6402175084059
-108.876925,111,58.937613,-108.87692469849786,-108.87692469849786
-92.382906,87,59.781898,-92.38290606430313,-92.38290606430313
-124.163402,116,60.927283,-124.16340150965611,-124.16340150965611
-164.013513,128,62.175769,-164.01351259416245,-164.01351259416245
-396.347846,88,63.011278,-396.34784611982064,-396.34784611982064
-109.226307,99,63.956064,-109.22630734353861,-109.22630734353861
-364.557103,100,64.931878,-364.55710308926723,-364.55710308926723
-170.451153,101,65.911894,-170.45115274336118,-170.45115274336118
-73.910147,64,66.539382,-73.91014713359141,-73.91014713359141
-126.068414,116,67.673401,-126.06841412414758,-126.06841412414758
-197.027417,123,68.866924,-197.02741703216196,-197.02741703216196
-213.328774,113,69.96706,-213.32877414139884,-213.32877414139884
-119.14569,109,71.042474,-119.14569037941907,-119.14569037941907
-182.701236,121,72.221039,-182.70123645650057,-182.70123645650057
-132.953865,107,79.098561,-132.95386494971342,-132.95386494971342
-150.64929,109,80.162802,-150.64929013230739,-150.64929013230739
-171.21943,75,80.879771,-171.21943018379082,-171.21943018379082
-54.522775,70,81.558683,-54.52277475832369,-54.52277475832369
-57.619242,106,82.599066,-57.61924184209032,-57.61924184209032
-117.792108,80,83.385497,-117.79210848821899,-117.79210848821899
-296.269888,90,84.272021,-296.2698880126702,-296.2698880126702
-113.378702,72,84.979189,-113.37870187491997,-113.37870187491997
-138.603585,96,85.913169,-138.6035852016274,-138.6035852016274
-191.373283,94,86.833891,-191.37328305769978,-191.37328305769978
-46.217221,67,87.480184,-46.217220846463555,-46.217220846463555
-60.236187,77,88.228092,-60.23618693428974,-60.23618693428974
-117.407137,112,89.311474,-117.4071372346759,-117.4071372346759
-264.582408,110,90.381411,-264.5824076345364,-264.5824076345364
-119.839061,120,91.543715,-119.83906101647443,-119.83906101647443
-250.135451,91,92.424596,-250.13545103147592,-250.13545103147592
-101.834877,79,93.185833,-101.83487726974465,-101.83487726974465
-147.129396,93,94.09165,-147.12939575486007,-147.12939575486007
12.734564,125,95.32061,12.734564055585167,12.734564055585167
-214.637774,78,96.07457,-214.63777432522733,-214.63777432522733
-98.990369,92,96.975637,-98.99036894264356,-98.99036894264356
-133.122999,82,97.783621,-133.12299879521692,-133.12299879521692
-147.895467,104,104.912198,-147.89546706458245,-147.89546706458245
-85.260295,119,106.112878,-85.26029499226647,-85.26029499226647
-504.833125,115,107.234788,-504.8331252517702,-504.8331252517702
-56.840611,111,108.316328,-56.8406108136936,-56.8406108136936
-317.034651,106,109.345068,-317.0346506436574,-317.0346506436574
-106.273469,91,110.228422,-106.27346872710497,-106.27346872710497
-80.217447,92,111.130114,-80.21744726708506,-80.21744726708506
-90.87268,121,112.305688,-90.87268040131715,-90.87268040131715
-104.669204,98,113.269037,-104.66920449702967,-104.66920449702967
-343.9815,101,114.238703,-343.9814997181594,-343.9814997181594
-26.564835,99,115.196107,-26.564835091225902,-26.564835091225902
-114.341403,97,116.137994,-114.34140325898363,-114.34140325898363
-32.674954,69,116.802251,-32.674953650141575,-32.674953650141575
-154.225345,108,117.854767,-154.22534463483254,-154.22534463483254
-112.784905,109,118.927109,-112.78490464446405,-112.78490464446405
-99.925911,112,120.026257,-99.92591115844178,-99.92591115844178
-338.785961,92,120.922642,-338.7859607619125,-338.7859607619125
-180.104548,93,121.82743,-180.10454837148035,-180.10454837148035
-114.91522,104,122.854713,-114.9152199789525,-114.9152199789525
-296.466191,106,123.884098,-296.46619091337595,-296.46619091337595
-25.979241,81,124.679702,-25.979241387828864,-25.979241387828864
-391.326092,91,131.524889,-391.3260915925034,-391.3260915925034
-20.422091,85,132.354634,-20.42209131281406,-20.42209131281406
-335.321695,107,133.392913,-335.32169508583047,-335.32169508583047
-104.134745,100,134.359799,-104.1347452812071,-104.1347452812071
-88.474902,88,135.217546,-88.47490152948751,-88.47490152948751
-96.091111,143,136.615588,-96.09111118707953,-96.09111118707953
-252.064786,104,137.623231,-252.06478605563254,-252.06478605563254
-89.934991,90,138.516373,-89.93499147351112,-89.93499147351112
-315.86806,82,139.321102,-315.86805994377244,-315.86805994377244
-181.664447,67,139.968185,-181.66444694374167,-181.66444694374167
-453.790711,138,141.304452,-453.79071082247606,-453.79071082247606
-62.665,72,142.003724,-62.66500029121506,-62.66500029121506
-47.415993,133,143.312943,-47.41599258999136,-47.41599258999136
-20.453849,85,144.138147,-20.453849026508095,-20.453849026508095
-132.109344,110,145.210837,-132.1093438184239,-132.1093438184239
-51.820678,79,145.99032,-51.820678327271445,-51.820678327271445
-218.066983,131,147.279076,-218.06698279027285,-218.06698279027285
-57.385236,84,148.107381,-57.38523600625217,-57.38523600625217
-294.040957,89,148.971195,-294.0409569924317,-294.0409569924317
-140.216497,124,150.194085,-140.21649747890288,-140.21649747890288
-218.388099,103,156.890371,-218.38809907661715,-218.38809907661715
-128.895933,111,158.010112,-128.8959332729881,-128.8959332729881
-78.814055,73,158.715325,-78.81405503372794,-78.81405503372794
-88.479246,138,160.069817,-88.47924634477519,-88.47924634477519
-41.320437,94,160.988882,-41.32043656454793,-41.32043656454793
-101.174018,111,162.072098,-101.17401761725915,-101.17401761725915
-209.734962,103,163.06203,-209.73496155843924,-209.73496155843924
-102.693548,113,164.179336,-102.69354755696232,-102.69354755696232
-1.182937,103,165.193424,-1.1829368837983907,-1.1829368837983907
-250.272945,135,166.51639,-250.27294546240321,-250.27294546240321
-72.302289,100,167.504039,-72.30228870428869,-72.30228870428869
-221.930574,133,168.802725,-221.93057427973054,-221.93057427973054
-103.630306,76,169.556179,-103.63030624523971,-103.63030624523971
-63.517765,125,170.776061,-63.51776533078243,-63.51776533078243
-61.791675,82,171.573189,-61.79167481105517,-61.79167481105517
-172.421695,137,172.920587,-172.42169516787425,-172.42169516787425
-85.186834,100,173.911588,-85.18683373056543,-85.18683373056543
-166.832928,111,175.000783,-166.83292831155268,-166.83292831155268
-45.660264,102,176.001398,-45.66026369377992,-45.66026369377992
-90.504812,94,182.987221,-90.504811742003,-90.504811742003
-142.804565,118,184.170232,-142.80456532294653,-142.80456532294653
17.984857,150,185.640802,17.98485708747043,17.98485708747043
-127.198884,141,187.044117,-127.19888422296967,-127.19888422296967
-354.281195,99,188.029278,-354.2811953278249,-354.2811953278249
-77.725117,127,189.285131,-77.72511711585688,-77.72511711585688
-82.724809,119,190.468009,-82.72480873992406,-82.72480873992406
-147.132139,142,191.856951,-147.13213888658717,-147.13213888658717
-29.701925,71,192.556401,-29.70192537115409,-29.70192537115409
-80.87222,95,193.490259,-80.87222017878308,-80.87222017878308
-56.534317,77,194.251203,-56.53431683009368,-56.53431683009368
-281.064815,102,195.251046,-281.0648154838676,-281.0648154838676
-10.387022,161,196.844121,-10.387021790624857,-10.387021790624857
-111.956456,85,197.68118,-111.95645588624011,-111.95645588624011
-64.693869,135,199.00562,-64.69386860409534,-64.69386860409534
-27.998922,130,200.289648,-27.998921934759693,-27.998921934759693
-115.562191,105,201.319095,-115.56219076936367,-115.56219076936367
-89.076351,89,202.183564,-89.0763506223895,-89.0763506223895
-142.814226,132,209.236455,-142.81422647392282,-142.81422647392282
-45.259353,107,210.293509,-45.25935322666139,-45.25935322666139
-81.138999,101,211.286724,-81.13899906236907,-81.13899906236907
-73.666687,111,212.3823,-73.66668714649175,-73.66668714649175
-37.095635,106,213.439446,-37.095634820377896,-37.095634820377896
-298.504563,133,214.754121,-298.504563164943,-298.504563164943
-62.236368,129,216.028993,-62.236368318108404,-62.236368318108404
-225.492194,118,217.212281,-225.49219448357582,-225.49219448357582
