# {"t_start": 1611594563.1003225, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-300.109463,117,2.876005,-300.109462836644,-300.109462836644
-92.991505,114,3.94997,-92.99150451029767,-92.99150451029767
-140.556326,144,5.331921,-140.55632595695462,-140.55632595695462
-78.311231,81,6.110164,-78.31123057628184,-78.31123057628184
-476.397822,137,7.42396,-476.39782235497466,-476.39782235497466
-328.535675,130,8.691985,-328.5356745125173,-328.5356745125173
-228.939402,129,9.950029,-228.93940169267202,-228.93940169267202
-89.764368,92,10.846535,-89.76436838275839,-89.76436838275839
-280.50254,98,11.781269,-280.5025400839929,-280.5025400839929
-259.023201,104,12.772191,-259.02320127279637,-259.02320127279637
-372.212249,101,13.75006,-372.2122489614811,-372.2122489614811
-270.231667,97,14.672881,-270.2316674144141,-270.2316674144141
-78.633614,70,15.351964,-78.63361382732258,-78.63361382732258
-323.726559,93,16.240598,-323.72655878393596,-323.72655878393596
-97.24131,77,16.983826,-97.24131010871608,-97.24131010871608
-332.601004,96,17.917672,-332.60100372230113,-332.60100372230113
-136.478632,95,18.831091,-136.47863169664072,-136.47863169664072
-45.690215,74,19.556267,-45.69021542567401,-45.69021542567401
-404.878507,114,20.645034,-404.87850668454684,-404.87850668454684
-209.644259,72,21.341338,-209.64425948581126,-209.64425948581126
-200.798395,106,28.030172,-200.7983951017324,-200.7983951017324
-247.082181,63,28.648468,-247.08218078949866,-247.08218078949866
-75.717811,84,29.476956,-75.71781148544451,-75.71781148544451
-104.763872,66,30.119464,-104.76387192898851,-104.76387192898851
-203.223356,108,31.16942,-203.22335616927197,-203.22335616927197
-417.586799,109,32.218252,-417.58679864155044,-417.58679864155044
-496.89756,98,33.182832,-496.89756019860107,-496.89756019860107
-230.369538,67,33.83182,-230.36953820144487,-230.36953820144487
-57.181661,88,34.69916,-57.181660940823875,-57.181660940823875
-60.165229,139,36.054877,-60.16522867857714,-60.16522867857714
-121.240288,106,37.081848,-121.24028830061161,-121.24028830061161
-193.495593,114,38.171108,-193.4955934790352,-193.4955934790352
-333.750027,115,39.293646,-333.7500265808519,-333.7500265808519
-125.658415,134,40.596559,-125.65841538018147,-125.65841538018147
-126.836021,77,41.342962,-126.8360211715934,-126.8360211715934
-237.715565,110,42.41484,-237.71556474589553,-237.71556474589553
-252.927645,98,43.375738,-252.92764463177338,-252.92764463177338
-115.161197,72,44.073838,-115.16119706401003,-115.16119706401003
-127.822403,110,45.139057,-127.82240261288517,-127.82240261288517
-263.872642,72,45.837228,-263.8726418745157,-263.8726418745157
-69.684389,101,46.81714,-69.68438918717118,-69.68438918717118
-88.848351,67,53.256214,-88.84835115851494,-88.84835115851494
-122.886095,125,54.474624,-122.88609471871918,-122.88609471871918
-51.137244,73,55.180912,-51.13724368313835,-51.13724368313835
-136.069629,80,55.956696,-136.0696286801264,-136.0696286801264
-62.259431,73,56.674061,-62.25943141322436,-62.25943141322436
-112.483519,122,57.870072,-112.48351940137444,-112.48351940137444
-123.003591,72,58.559735,-123.00359140181625,-123.00359140181625
-129.902653,92,59.455486,-129.9026534455631,-129.9026534455631
-66.627409,106,60.499951,-66.62740927127547,-66.62740927127547
-185.566538,88,61.36354,-185.5665383506913,-185.5665383506913
-186.212625,92,62.250441,-186.21262511605528,-186.21262511605528
-123.669074,120,63.391079,-123.66907393301992,-123.66907393301992
-271.213721,79,64.150029,-271.2137209460502,-271.2137209460502
-383.111662,89,65.019776,-383.1116620138806,-383.1116620138806
-96.989288,149,66.476845,-96.98928828274354,-96.98928828274354
